i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.6754435999999995 1 100.0
2 0.5039018499999999 8 81.0
3 1.0901165499999999 2 77.0
4 1.0497556 3 75.0
5 0.7702761999999999 5 70.0
6 0.65729215 6 63.0
7 0.11394639999999995 17 54.0
8 0.14251519999999995 16 49.0
9 0.3454230499999999 10 47.0
10 0.15555689999999994 15 44.0
11 0.07121060000000001 18 44.0
12 0.0388235999999999 19 44.0
13 0.2618724499999999 11 42.0
14 0.4890582499999999 9 41.0
15 0.22785459999999993 12 40.0
16 0.7916141499999998 4 37.0
17 0.6482600999999999 7 36.0
18 0.0 20 33.0
19 0.1557754999999999 14 33.0
20 0.17022524999999988 13 31.0
