i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.9324176666666666 1 84.0
2 0.16088180555555562 15 63.0
3 0.47949561111111116 4 55.0
4 0.5917255555555556 2 54.0
5 0.44619072222222234 5 54.0
6 0.5876519444444446 3 53.0
7 0.07479053888888898 16 51.0
8 0.28226013333333344 8 49.0
9 0.33197005555555564 6 47.0
10 0.19331388888888903 14 43.0
11 0.23693844444444453 11 42.0
12 0.24415316666666675 10 41.0
13 0.21163119444444456 13 39.0
14 0.07224588333333354 17 36.0
15 0.0 18 36.0
16 0.30488100000000007 7 33.0
17 0.25560005555555565 9 31.0
18 0.22880033333333338 12 22.0
