i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6778997500000001 2 95.0
2 0.6943441000000002 1 91.0
3 0.6459961500000002 3 77.0
4 0.5366982500000002 6 72.0
5 0.4581592500000002 8 72.0
6 0.5824832000000002 4 64.0
7 0.5198590465000001 7 60.0
8 0.5533200000000003 5 57.0
9 0.3126782200000002 11 54.0
10 0.34734758350000017 9 54.0
11 0.09487423500000011 17 43.0
12 0.19332725000000017 14 41.0
13 0.22368660000000012 13 40.0
14 0.14049030000000015 16 40.0
15 0.2783154500000002 12 39.0
16 0.07568519000000007 18 39.0
17 0.1419320000000002 15 38.0
18 0.0 20 35.0
19 0.047590800000000155 19 25.0
20 0.3234786250000002 10 21.0
