i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7307650499999998 7 95.0
2 1.4920455999999997 1 91.0
3 0.9012591999999997 2 77.0
4 0.7582476999999999 5 72.0
5 0.6160053499999999 8 72.0
6 0.8430545349999998 3 64.0
7 0.7598071 4 60.0
8 0.5276552999999999 9 57.0
9 0.7557295999999998 6 54.0
10 0.45221039999999996 10 54.0
11 0.272693725 13 43.0
12 0.37417719999999993 11 41.0
13 0.15802055000000004 16 40.0
14 0.23587155 14 40.0
15 0.3504655999999999 12 39.0
16 0.20689907499999993 15 39.0
17 0.03688321500000008 19 38.0
18 0.13447810000000004 17 35.0
19 0.0 20 25.0
20 0.09845215000000007 18 21.0
