i,j,fij
1,2,-11
1,3,-21
1,4,-18
1,5,-14
1,6,-19
1,7,-20
1,8,-27
1,9,-26
1,10,-37
1,11,-35
1,12,-36
1,13,-35
1,14,-30
1,15,-34
1,16,-31
1,17,-34
1,18,-36
1,19,-40
1,20,-38
2,3,-10
2,4,-7
2,5,-3
2,6,-8
2,7,-9
2,8,-16
2,9,-15
2,10,-26
2,11,-24
2,12,-25
2,13,-24
2,14,-19
2,15,-23
2,16,-20
2,17,-23
2,18,-25
2,19,-29
2,20,-27
3,4,3
3,5,7
3,6,2
3,7,1
3,8,-6
3,9,-5
3,10,-16
3,11,-14
3,12,-15
3,13,-14
3,14,-9
3,15,-13
3,16,-10
3,17,-13
3,18,-15
3,19,-19
3,20,-17
4,5,4
4,6,-1
4,7,-2
4,8,-9
4,9,-8
4,10,-19
4,11,-17
4,12,-18
4,13,-17
4,14,-12
4,15,-16
4,16,-13
4,17,-16
4,18,-18
4,19,-22
4,20,-20
5,6,-5
5,7,-6
5,8,-13
5,9,-12
5,10,-23
5,11,-21
5,12,-22
5,13,-21
5,14,-16
5,15,-20
5,16,-17
5,17,-20
5,18,-22
5,19,-26
5,20,-24
6,7,-1
6,8,-8
6,9,-7
6,10,-18
6,11,-16
6,12,-17
6,13,-16
6,14,-11
6,15,-15
6,16,-12
6,17,-15
6,18,-17
6,19,-21
6,20,-19
7,8,-7
7,9,-6
7,10,-17
7,11,-15
7,12,-16
7,13,-15
7,14,-10
7,15,-14
7,16,-11
7,17,-14
7,18,-16
7,19,-20
7,20,-18
8,9,1
8,10,-10
8,11,-8
8,12,-9
8,13,-8
8,14,-3
8,15,-7
8,16,-4
8,17,-7
8,18,-9
8,19,-13
8,20,-11
9,10,-11
9,11,-9
9,12,-10
9,13,-9
9,14,-4
9,15,-8
9,16,-5
9,17,-8
9,18,-10
9,19,-14
9,20,-12
10,11,2
10,12,1
10,13,2
10,14,7
10,15,3
10,16,6
10,17,3
10,18,1
10,19,-3
10,20,-1
11,12,-1
11,13,0
11,14,5
11,15,1
11,16,4
11,17,1
11,18,-1
11,19,-5
11,20,-3
12,13,1
12,14,6
12,15,2
12,16,5
12,17,2
12,18,0
12,19,-4
12,20,-2
13,14,5
13,15,1
13,16,4
13,17,1
13,18,-1
13,19,-5
13,20,-3
14,15,-4
14,16,-1
14,17,-4
14,18,-6
14,19,-10
14,20,-8
15,16,3
15,17,0
15,18,-2
15,19,-6
15,20,-4
16,17,-3
16,18,-5
16,19,-9
16,20,-7
17,18,-2
17,19,-6
17,20,-4
18,19,-4
18,20,-2
19,20,2
