i,j,fij
1,2,-13
1,3,-17
1,4,-14
1,5,-24
1,6,-30
1,7,-32
1,8,-43
1,9,-41
1,10,-46
1,11,-50
1,12,-46
1,13,-50
1,14,-49
1,15,-48
1,16,-49
1,17,-56
1,18,-57
1,19,-51
1,20,-63
2,3,-4
2,4,-1
2,5,-11
2,6,-17
2,7,-19
2,8,-30
2,9,-28
2,10,-33
2,11,-37
2,12,-33
2,13,-37
2,14,-36
2,15,-35
2,16,-36
2,17,-43
2,18,-44
2,19,-38
2,20,-50
3,4,3
3,5,-7
3,6,-13
3,7,-15
3,8,-26
3,9,-24
3,10,-29
3,11,-33
3,12,-29
3,13,-33
3,14,-32
3,15,-31
3,16,-32
3,17,-39
3,18,-40
3,19,-34
3,20,-46
4,5,-10
4,6,-16
4,7,-18
4,8,-29
4,9,-27
4,10,-32
4,11,-36
4,12,-32
4,13,-36
4,14,-35
4,15,-34
4,16,-35
4,17,-42
4,18,-43
4,19,-37
4,20,-49
5,6,-6
5,7,-8
5,8,-19
5,9,-17
5,10,-22
5,11,-26
5,12,-22
5,13,-26
5,14,-25
5,15,-24
5,16,-25
5,17,-32
5,18,-33
5,19,-27
5,20,-39
6,7,-2
6,8,-13
6,9,-11
6,10,-16
6,11,-20
6,12,-16
6,13,-20
6,14,-19
6,15,-18
6,16,-19
6,17,-26
6,18,-27
6,19,-21
6,20,-33
7,8,-11
7,9,-9
7,10,-14
7,11,-18
7,12,-14
7,13,-18
7,14,-17
7,15,-16
7,16,-17
7,17,-24
7,18,-25
7,19,-19
7,20,-31
8,9,2
8,10,-3
8,11,-7
8,12,-3
8,13,-7
8,14,-6
8,15,-5
8,16,-6
8,17,-13
8,18,-14
8,19,-8
8,20,-20
9,10,-5
9,11,-9
9,12,-5
9,13,-9
9,14,-8
9,15,-7
9,16,-8
9,17,-15
9,18,-16
9,19,-10
9,20,-22
10,11,-4
10,12,0
10,13,-4
10,14,-3
10,15,-2
10,16,-3
10,17,-10
10,18,-11
10,19,-5
10,20,-17
11,12,4
11,13,0
11,14,1
11,15,2
11,16,1
11,17,-6
11,18,-7
11,19,-1
11,20,-13
12,13,-4
12,14,-3
12,15,-2
12,16,-3
12,17,-10
12,18,-11
12,19,-5
12,20,-17
13,14,1
13,15,2
13,16,1
13,17,-6
13,18,-7
13,19,-1
13,20,-13
14,15,1
14,16,0
14,17,-7
14,18,-8
14,19,-2
14,20,-14
15,16,-1
15,17,-8
15,18,-9
15,19,-3
15,20,-15
16,17,-7
16,18,-8
16,19,-2
16,20,-14
17,18,-1
17,19,5
17,20,-7
18,19,6
18,20,-6
19,20,-12
