i,j,fij
1,2,-19
1,3,-23
1,4,-25
1,5,-27
1,6,-37
1,7,-43
1,8,-49
1,9,-50
1,10,-56
1,11,-56
1,12,-56
1,13,-58
1,14,-58
1,15,-56
1,16,-60
1,17,-61
1,18,-67
1,19,-64
1,20,-66
2,3,-4
2,4,-6
2,5,-8
2,6,-18
2,7,-24
2,8,-30
2,9,-31
2,10,-37
2,11,-37
2,12,-37
2,13,-39
2,14,-39
2,15,-37
2,16,-41
2,17,-42
2,18,-48
2,19,-45
2,20,-47
3,4,-2
3,5,-4
3,6,-14
3,7,-20
3,8,-26
3,9,-27
3,10,-33
3,11,-33
3,12,-33
3,13,-35
3,14,-35
3,15,-33
3,16,-37
3,17,-38
3,18,-44
3,19,-41
3,20,-43
4,5,-2
4,6,-12
4,7,-18
4,8,-24
4,9,-25
4,10,-31
4,11,-31
4,12,-31
4,13,-33
4,14,-33
4,15,-31
4,16,-35
4,17,-36
4,18,-42
4,19,-39
4,20,-41
5,6,-10
5,7,-16
5,8,-22
5,9,-23
5,10,-29
5,11,-29
5,12,-29
5,13,-31
5,14,-31
5,15,-29
5,16,-33
5,17,-34
5,18,-40
5,19,-37
5,20,-39
6,7,-6
6,8,-12
6,9,-13
6,10,-19
6,11,-19
6,12,-19
6,13,-21
6,14,-21
6,15,-19
6,16,-23
6,17,-24
6,18,-30
6,19,-27
6,20,-29
7,8,-6
7,9,-7
7,10,-13
7,11,-13
7,12,-13
7,13,-15
7,14,-15
7,15,-13
7,16,-17
7,17,-18
7,18,-24
7,19,-21
7,20,-23
8,9,-1
8,10,-7
8,11,-7
8,12,-7
8,13,-9
8,14,-9
8,15,-7
8,16,-11
8,17,-12
8,18,-18
8,19,-15
8,20,-17
9,10,-6
9,11,-6
9,12,-6
9,13,-8
9,14,-8
9,15,-6
9,16,-10
9,17,-11
9,18,-17
9,19,-14
9,20,-16
10,11,0
10,12,0
10,13,-2
10,14,-2
10,15,0
10,16,-4
10,17,-5
10,18,-11
10,19,-8
10,20,-10
11,12,0
11,13,-2
11,14,-2
11,15,0
11,16,-4
11,17,-5
11,18,-11
11,19,-8
11,20,-10
12,13,-2
12,14,-2
12,15,0
12,16,-4
12,17,-5
12,18,-11
12,19,-8
12,20,-10
13,14,0
13,15,2
13,16,-2
13,17,-3
13,18,-9
13,19,-6
13,20,-8
14,15,2
14,16,-2
14,17,-3
14,18,-9
14,19,-6
14,20,-8
15,16,-4
15,17,-5
15,18,-11
15,19,-8
15,20,-10
16,17,-1
16,18,-7
16,19,-4
16,20,-6
17,18,-6
17,19,-3
17,20,-5
18,19,3
18,20,1
19,20,-2
