i,j,fij
1,2,2
1,3,-1
1,4,0
1,5,-1
1,6,-1
1,7,-1
1,8,0
1,9,-1
1,10,-4
1,11,-4
1,12,-4
1,13,-4
1,14,0
1,15,-4
1,16,2
1,17,0
1,18,-1
1,19,-3
1,20,2
2,3,-3
2,4,-2
2,5,-3
2,6,-3
2,7,-3
2,8,-2
2,9,-3
2,10,-6
2,11,-6
2,12,-6
2,13,-6
2,14,-2
2,15,-6
2,16,0
2,17,-2
2,18,-3
2,19,-5
2,20,0
3,4,1
3,5,0
3,6,0
3,7,0
3,8,1
3,9,0
3,10,-3
3,11,-3
3,12,-3
3,13,-3
3,14,1
3,15,-3
3,16,3
3,17,1
3,18,0
3,19,-2
3,20,3
4,5,-1
4,6,-1
4,7,-1
4,8,0
4,9,-1
4,10,-4
4,11,-4
4,12,-4
4,13,-4
4,14,0
4,15,-4
4,16,2
4,17,0
4,18,-1
4,19,-3
4,20,2
5,6,0
5,7,0
5,8,1
5,9,0
5,10,-3
5,11,-3
5,12,-3
5,13,-3
5,14,1
5,15,-3
5,16,3
5,17,1
5,18,0
5,19,-2
5,20,3
6,7,0
6,8,1
6,9,0
6,10,-3
6,11,-3
6,12,-3
6,13,-3
6,14,1
6,15,-3
6,16,3
6,17,1
6,18,0
6,19,-2
6,20,3
7,8,1
7,9,0
7,10,-3
7,11,-3
7,12,-3
7,13,-3
7,14,1
7,15,-3
7,16,3
7,17,1
7,18,0
7,19,-2
7,20,3
8,9,-1
8,10,-4
8,11,-4
8,12,-4
8,13,-4
8,14,0
8,15,-4
8,16,2
8,17,0
8,18,-1
8,19,-3
8,20,2
9,10,-3
9,11,-3
9,12,-3
9,13,-3
9,14,1
9,15,-3
9,16,3
9,17,1
9,18,0
9,19,-2
9,20,3
10,11,0
10,12,0
10,13,0
10,14,4
10,15,0
10,16,6
10,17,4
10,18,3
10,19,1
10,20,6
11,12,0
11,13,0
11,14,4
11,15,0
11,16,6
11,17,4
11,18,3
11,19,1
11,20,6
12,13,0
12,14,4
12,15,0
12,16,6
12,17,4
12,18,3
12,19,1
12,20,6
13,14,4
13,15,0
13,16,6
13,17,4
13,18,3
13,19,1
13,20,6
14,15,-4
14,16,2
14,17,0
14,18,-1
14,19,-3
14,20,2
15,16,6
15,17,4
15,18,3
15,19,1
15,20,6
16,17,-2
16,18,-3
16,19,-5
16,20,0
17,18,-1
17,19,-3
17,20,2
18,19,-2
18,20,3
19,20,5
