i,j,fij
1,2,-19
1,3,-23
1,4,-25
1,5,-30
1,6,-37
1,7,-46
1,8,-52
1,9,-53
1,10,-56
1,11,-56
1,12,-56
1,13,-58
1,14,-61
1,15,-59
1,16,-63
1,17,-64
1,18,-67
1,19,-67
1,20,-69
2,3,-4
2,4,-6
2,5,-11
2,6,-18
2,7,-27
2,8,-33
2,9,-34
2,10,-37
2,11,-37
2,12,-37
2,13,-39
2,14,-42
2,15,-40
2,16,-44
2,17,-45
2,18,-48
2,19,-48
2,20,-50
3,4,-2
3,5,-7
3,6,-14
3,7,-23
3,8,-29
3,9,-30
3,10,-33
3,11,-33
3,12,-33
3,13,-35
3,14,-38
3,15,-36
3,16,-40
3,17,-41
3,18,-44
3,19,-44
3,20,-46
4,5,-5
4,6,-12
4,7,-21
4,8,-27
4,9,-28
4,10,-31
4,11,-31
4,12,-31
4,13,-33
4,14,-36
4,15,-34
4,16,-38
4,17,-39
4,18,-42
4,19,-42
4,20,-44
5,6,-7
5,7,-16
5,8,-22
5,9,-23
5,10,-26
5,11,-26
5,12,-26
5,13,-28
5,14,-31
5,15,-29
5,16,-33
5,17,-34
5,18,-37
5,19,-37
5,20,-39
6,7,-9
6,8,-15
6,9,-16
6,10,-19
6,11,-19
6,12,-19
6,13,-21
6,14,-24
6,15,-22
6,16,-26
6,17,-27
6,18,-30
6,19,-30
6,20,-32
7,8,-6
7,9,-7
7,10,-10
7,11,-10
7,12,-10
7,13,-12
7,14,-15
7,15,-13
7,16,-17
7,17,-18
7,18,-21
7,19,-21
7,20,-23
8,9,-1
8,10,-4
8,11,-4
8,12,-4
8,13,-6
8,14,-9
8,15,-7
8,16,-11
8,17,-12
8,18,-15
8,19,-15
8,20,-17
9,10,-3
9,11,-3
9,12,-3
9,13,-5
9,14,-8
9,15,-6
9,16,-10
9,17,-11
9,18,-14
9,19,-14
9,20,-16
10,11,0
10,12,0
10,13,-2
10,14,-5
10,15,-3
10,16,-7
10,17,-8
10,18,-11
10,19,-11
10,20,-13
11,12,0
11,13,-2
11,14,-5
11,15,-3
11,16,-7
11,17,-8
11,18,-11
11,19,-11
11,20,-13
12,13,-2
12,14,-5
12,15,-3
12,16,-7
12,17,-8
12,18,-11
12,19,-11
12,20,-13
13,14,-3
13,15,-1
13,16,-5
13,17,-6
13,18,-9
13,19,-9
13,20,-11
14,15,2
14,16,-2
14,17,-3
14,18,-6
14,19,-6
14,20,-8
15,16,-4
15,17,-5
15,18,-8
15,19,-8
15,20,-10
16,17,-1
16,18,-4
16,19,-4
16,20,-6
17,18,-3
17,19,-3
17,20,-5
18,19,0
18,20,-2
19,20,-2
