i,j,fij
1,2,-16
1,3,-20
1,4,-18
1,5,-25
1,6,-33
1,7,-38
1,8,-43
1,9,-41
1,10,-49
1,11,-51
1,12,-45
1,13,-48
1,14,-44
1,15,-44
1,16,-48
1,17,-50
1,18,-51
1,19,-48
1,20,-58
2,3,-4
2,4,-2
2,5,-9
2,6,-17
2,7,-22
2,8,-27
2,9,-25
2,10,-33
2,11,-35
2,12,-29
2,13,-32
2,14,-28
2,15,-28
2,16,-32
2,17,-34
2,18,-35
2,19,-32
2,20,-42
3,4,2
3,5,-5
3,6,-13
3,7,-18
3,8,-23
3,9,-21
3,10,-29
3,11,-31
3,12,-25
3,13,-28
3,14,-24
3,15,-24
3,16,-28
3,17,-30
3,18,-31
3,19,-28
3,20,-38
4,5,-7
4,6,-15
4,7,-20
4,8,-25
4,9,-23
4,10,-31
4,11,-33
4,12,-27
4,13,-30
4,14,-26
4,15,-26
4,16,-30
4,17,-32
4,18,-33
4,19,-30
4,20,-40
5,6,-8
5,7,-13
5,8,-18
5,9,-16
5,10,-24
5,11,-26
5,12,-20
5,13,-23
5,14,-19
5,15,-19
5,16,-23
5,17,-25
5,18,-26
5,19,-23
5,20,-33
6,7,-5
6,8,-10
6,9,-8
6,10,-16
6,11,-18
6,12,-12
6,13,-15
6,14,-11
6,15,-11
6,16,-15
6,17,-17
6,18,-18
6,19,-15
6,20,-25
7,8,-5
7,9,-3
7,10,-11
7,11,-13
7,12,-7
7,13,-10
7,14,-6
7,15,-6
7,16,-10
7,17,-12
7,18,-13
7,19,-10
7,20,-20
8,9,2
8,10,-6
8,11,-8
8,12,-2
8,13,-5
8,14,-1
8,15,-1
8,16,-5
8,17,-7
8,18,-8
8,19,-5
8,20,-15
9,10,-8
9,11,-10
9,12,-4
9,13,-7
9,14,-3
9,15,-3
9,16,-7
9,17,-9
9,18,-10
9,19,-7
9,20,-17
10,11,-2
10,12,4
10,13,1
10,14,5
10,15,5
10,16,1
10,17,-1
10,18,-2
10,19,1
10,20,-9
11,12,6
11,13,3
11,14,7
11,15,7
11,16,3
11,17,1
11,18,0
11,19,3
11,20,-7
12,13,-3
12,14,1
12,15,1
12,16,-3
12,17,-5
12,18,-6
12,19,-3
12,20,-13
13,14,4
13,15,4
13,16,0
13,17,-2
13,18,-3
13,19,0
13,20,-10
14,15,0
14,16,-4
14,17,-6
14,18,-7
14,19,-4
14,20,-14
15,16,-4
15,17,-6
15,18,-7
15,19,-4
15,20,-14
16,17,-2
16,18,-3
16,19,0
16,20,-10
17,18,-1
17,19,2
17,20,-8
18,19,3
18,20,-7
19,20,-10
