i,j,fij
1,2,-16
1,3,-20
1,4,-18
1,5,-22
1,6,-30
1,7,-38
1,8,-40
1,9,-39
1,10,-46
1,11,-48
1,12,-43
1,13,-45
1,14,-44
1,15,-44
1,16,-45
1,17,-48
1,18,-49
1,19,-48
1,20,-55
2,3,-4
2,4,-2
2,5,-6
2,6,-14
2,7,-22
2,8,-24
2,9,-23
2,10,-30
2,11,-32
2,12,-27
2,13,-29
2,14,-28
2,15,-28
2,16,-29
2,17,-32
2,18,-33
2,19,-32
2,20,-39
3,4,2
3,5,-2
3,6,-10
3,7,-18
3,8,-20
3,9,-19
3,10,-26
3,11,-28
3,12,-23
3,13,-25
3,14,-24
3,15,-24
3,16,-25
3,17,-28
3,18,-29
3,19,-28
3,20,-35
4,5,-4
4,6,-12
4,7,-20
4,8,-22
4,9,-21
4,10,-28
4,11,-30
4,12,-25
4,13,-27
4,14,-26
4,15,-26
4,16,-27
4,17,-30
4,18,-31
4,19,-30
4,20,-37
5,6,-8
5,7,-16
5,8,-18
5,9,-17
5,10,-24
5,11,-26
5,12,-21
5,13,-23
5,14,-22
5,15,-22
5,16,-23
5,17,-26
5,18,-27
5,19,-26
5,20,-33
6,7,-8
6,8,-10
6,9,-9
6,10,-16
6,11,-18
6,12,-13
6,13,-15
6,14,-14
6,15,-14
6,16,-15
6,17,-18
6,18,-19
6,19,-18
6,20,-25
7,8,-2
7,9,-1
7,10,-8
7,11,-10
7,12,-5
7,13,-7
7,14,-6
7,15,-6
7,16,-7
7,17,-10
7,18,-11
7,19,-10
7,20,-17
8,9,1
8,10,-6
8,11,-8
8,12,-3
8,13,-5
8,14,-4
8,15,-4
8,16,-5
8,17,-8
8,18,-9
8,19,-8
8,20,-15
9,10,-7
9,11,-9
9,12,-4
9,13,-6
9,14,-5
9,15,-5
9,16,-6
9,17,-9
9,18,-10
9,19,-9
9,20,-16
10,11,-2
10,12,3
10,13,1
10,14,2
10,15,2
10,16,1
10,17,-2
10,18,-3
10,19,-2
10,20,-9
11,12,5
11,13,3
11,14,4
11,15,4
11,16,3
11,17,0
11,18,-1
11,19,0
11,20,-7
12,13,-2
12,14,-1
12,15,-1
12,16,-2
12,17,-5
12,18,-6
12,19,-5
12,20,-12
13,14,1
13,15,1
13,16,0
13,17,-3
13,18,-4
13,19,-3
13,20,-10
14,15,0
14,16,-1
14,17,-4
14,18,-5
14,19,-4
14,20,-11
15,16,-1
15,17,-4
15,18,-5
15,19,-4
15,20,-11
16,17,-3
16,18,-4
16,19,-3
16,20,-10
17,18,-1
17,19,0
17,20,-7
18,19,1
18,20,-6
19,20,-7
