t,tau,pval
2,0.19999999999999998,0.23326655710712652
3,-0.052631578947368425,0.7732194749063227
4,0.3473684210526316,0.033643947242160896
5,0.35789473684210527,0.02832862734229191
6,0.3263157894736842,0.04676893674989459
7,0.5684210526315789,0.0002659445477346318
8,0.4842105263157895,0.0023549443013355514
9,0.4421052631578947,0.005923797271372209
10,0.4210526315789474,0.009056382412965046
11,0.5052631578947369,0.0014273106487188694
12,0.7894736842105264,3.2194648229462574e-08
13,0.8421052631578948,1.0817964912497665e-09
14,0.5473684210526316,0.00048057549205802254
15,0.5894736842105264,0.00014216492337970727
16,0.5789473684210527,0.00019531614824281216
17,0.6947368421052632,3.318592792384182e-06
18,0.7789473684210527,5.840658297557008e-08
19,0.7894736842105264,3.2194648229462574e-08
20,0.9789473684210527,1.7181127665444849e-16
21,0.7578947368421053,1.7957522777065333e-07
22,0.7052631578947369,2.1264996492297583e-06
23,0.8315789473684211,2.2710573411630974e-09
24,0.9263157894736842,4.97267870195355e-13
25,0.8526315789473685,4.964599165690299e-10
26,0.8315789473684211,2.2710573411630974e-09
27,0.8210526315789474,4.60794385894808e-09
28,0.8631578947368421,2.1870145045372028e-10
29,0.7894736842105264,3.2194648229462574e-08
30,0.9263157894736842,4.97267870195355e-13
31,0.7368421052631579,5.089279304093134e-07
32,0.8105263157894737,9.06108549128192e-09
33,0.9052631578947369,4.956818630372238e-12
34,0.9157894736842106,1.637252132068114e-12
35,0.9368421052631579,1.3686946653867177e-13
36,0.968421052631579,1.2487144939622356e-15
37,0.9473684210526316,3.348593561359954e-14
38,0.9473684210526316,3.348593561359954e-14
