t,tau,pval
2,0.21568627450980396,0.22906043853787195
3,0.21568627450980396,0.22906043853787195
4,0.3856209150326798,0.02643135752713797
5,0.05882352941176472,0.7652367457549346
6,0.542483660130719,0.001230617686421057
7,0.5686274509803922,0.0006468049116659813
8,0.5032679738562092,0.002985699542918576
9,0.4379084967320262,0.010871540899275188
10,0.6993464052287582,1.1750697734293768e-05
11,0.5686274509803922,0.0006468049116659813
12,0.5947712418300655,0.000324628494137499
13,0.5816993464052289,0.0004609942250814608
14,0.8169934640522877,5.743389669225629e-08
15,0.6209150326797386,0.0001549082772801415
16,0.5947712418300655,0.000324628494137499
17,0.6339869281045752,0.00010483725733996005
18,0.673202614379085,2.9671236868607523e-05
19,0.6470588235294119,6.992118589945655e-05
20,0.5686274509803922,0.0006468049116659813
21,0.7516339869281047,1.4423930789510103e-06
22,0.47712418300653603,0.005139059506065925
23,0.8300653594771243,2.7133502663954042e-08
24,0.5163398692810458,0.002244139045296836
25,0.7516339869281047,1.4423930789510103e-06
26,0.7254901960784316,4.304368320665909e-06
27,0.8431372549019609,1.2272689725953054e-08
28,0.9084967320261439,9.766565163801219e-11
29,0.934640522875817,7.811165404989973e-12
30,0.8823529411764707,8.282412498439187e-10
31,0.9738562091503269,5.310530369319317e-14
32,0.9215686274509804,2.9255087036301376e-11
33,0.9869281045751636,5.622914508691041e-15
34,0.9477124183006538,1.8102660876591437e-12
