t,tau,pval
2,0.39999999999999997,0.013532373706902114
3,0.6736842105263158,7.745065863454172e-06
4,0.5157894736842106,0.0010995222054334826
5,0.6526315789473685,1.7153751868888245e-05
6,0.6105263157894737,7.321900416351607e-05
7,0.631578947368421,3.6222609144151624e-05
8,0.6631578947368422,1.1598461044767754e-05
9,0.6105263157894737,7.321900416351607e-05
10,0.6631578947368422,1.1598461044767754e-05
11,0.7052631578947369,2.1264996492297583e-06
12,0.7789473684210527,5.840658297557008e-08
13,0.6105263157894737,7.321900416351607e-05
14,0.6631578947368422,1.1598461044767754e-05
15,0.7473684210526316,3.0521052671846353e-07
16,0.7473684210526316,3.0521052671846353e-07
17,0.6736842105263158,7.745065863454172e-06
18,0.7999999999999999,1.730999838319109e-08
19,0.8421052631578948,1.0817964912497665e-09
20,0.768421052631579,1.0352946382857873e-07
21,0.8421052631578948,1.0817964912497665e-09
22,1.0,8.22063524662433e-19
23,0.9473684210526316,3.348593561359954e-14
24,0.9157894736842106,1.637252132068114e-12
25,0.8421052631578948,1.0817964912497665e-09
26,0.8421052631578948,1.0817964912497665e-09
27,0.9052631578947369,4.956818630372238e-12
28,0.9052631578947369,4.956818630372238e-12
29,0.9263157894736842,4.97267870195355e-13
30,0.8947368421052632,1.395601297787034e-11
31,0.9263157894736842,4.97267870195355e-13
32,0.9157894736842106,1.637252132068114e-12
33,0.9052631578947369,4.956818630372238e-12
34,0.9789473684210527,1.7181127665444849e-16
35,0.9473684210526316,3.348593561359954e-14
36,0.8421052631578948,1.0817964912497665e-09
37,0.9263157894736842,4.97267870195355e-13
38,0.968421052631579,1.2487144939622356e-15
