n1,n2,weight
12,16,-1.7643e+00
12,17,-8.2146e-01
12,18,-1.1842e+00
12,19,6.1944e-01
12,20,3.7309e-01
13,1,7.1830e-01
13,2,2.3670e+00
13,3,7.4411e-01
13,4,2.6158e+00
13,5,2.5120e+00
13,6,-1.2096e-01
13,7,5.9098e-01
13,8,3.5237e-02
13,9,-4.0668e-01
13,10,1.8180e+00
13,11,2.1612e-01
13,12,3.1949e+00
13,14,2.9724e+00
13,15,1.1139e+00
13,16,-4.9006e-01
13,17,2.0181e+00
13,18,-3.2721e-01
13,19,5.9996e-01
13,20,1.8356e-01
14,1,-3.9639e+00
14,2,-2.0410e+00
14,3,-2.6902e+00
14,4,-9.8912e-01
14,5,-2.5920e+00
14,6,-1.1761e+00
14,7,-1.0878e+00
14,8,-1.7055e+00
14,9,-3.6208e+00
14,10,-1.7431e-01
14,11,-2.0578e+00
14,12,-1.9218e+00
14,13,-2.8759e+00
14,15,-1.2299e+00
14,16,-1.4424e+00
14,17,-2.0898e+00
14,18,-1.7545e+00
14,19,-3.6333e-01
14,20,-1.6063e+00
15,1,-1.9487e+00
15,2,4.3298e-01
15,3,-2.5594e+00
15,4,-4.0538e-01
15,5,-2.8705e-01
15,6,-2.1045e+00
15,7,-1.5467e+00
15,8,-1.7770e+00
15,9,-4.0186e+00
15,10,5.6826e-01
15,11,-1.7236e+00
15,12,-3.0071e+00
15,13,-1.2546e+00
15,14,-9.2791e-01
15,16,1.0960e+00
15,17,-4.7369e-01
15,18,1.0136e+00
15,19,-2.2144e+00
15,20,-8.2632e-04
16,1,-8.3819e-01
16,2,-9.9653e-01
16,3,-2.3329e+00
16,4,2.0859e-01
16,5,-5.9113e-01
16,6,-4.2178e-01
16,7,-4.0565e-01
16,8,1.0430e+00
16,9,-3.1503e+00
16,10,-1.0135e-01
16,11,-7.9750e-02
16,12,1.7967e+00
16,13,7.8509e-01
16,14,8.4014e-01
16,15,-6.8439e-01
16,17,-9.2944e-01
16,18,1.4599e+00
16,19,2.6922e-01
16,20,3.8745e-01
17,1,-1.9330e+00
17,2,-4.6786e-01
17,3,4.0656e-01
17,4,-6.3161e-01
17,5,-1.2697e+00
17,6,-2.8058e+00
17,7,-3.3701e-01
17,8,-9.2348e-01
17,9,-3.8575e+00
17,10,-1.1494e-01
17,11,-2.1187e+00
17,12,-2.5213e+00
17,13,-2.5617e+00
17,14,-1.9109e+00
17,15,-1.4522e+00
17,16,-2.3152e+00
17,18,-3.4136e-01
17,19,-2.5632e+00
17,20,-3.9994e-01
18,1,-1.4018e-01
18,2,-5.5140e-02
18,3,-1.5120e+00
18,4,1.5632e+00
18,5,1.0192e-01
18,6,-1.3992e+00
18,7,-1.0765e+00
18,8,3.2949e-01
18,9,-1.6827e+00
18,10,1.1179e+00
18,11,-1.3952e+00
18,12,2.8569e+00
18,13,1.4933e+00
18,14,-5.0124e-01
18,15,-2.3481e+00
18,16,3.8998e-01
18,17,8.6502e-01
18,19,-5.1037e-01
18,20,-8.8324e-01
19,1,3.5414e-02
19,2,-1.9327e-01
19,3,-2.0976e-01
19,4,1.2583e+00
19,5,6.6366e-01
19,6,4.4508e-01
19,7,2.3317e-01
19,8,1.5327e+00
19,9,1.2413e+00
19,10,9.1764e-02
19,11,3.6315e-01
19,12,1.8828e-01
19,13,-8.4587e-02
19,14,2.1325e+00
19,15,-7.7096e-01
19,16,-4.8002e-01
19,17,2.4874e+00
19,18,1.5319e+00
19,20,1.1139e+00
20,1,-1.8408e+00
20,2,-6.7453e-01
20,3,-6.1518e-01
20,4,-8.7545e-01
20,5,-9.6332e-01
20,6,1.8258e-01
20,7,-1.6336e+00
20,8,-1.8938e+00
20,9,-1.8326e+00
20,10,-1.7887e-01
20,11,-3.4918e+00
20,12,-8.9694e-01
20,13,-2.6179e+00
20,14,-7.2402e-01
20,15,-7.4301e-02
20,16,-1.7047e+00
20,17,-1.9796e+00
20,18,-1.0468e+00
20,19,-1.8279e+00
