n1,n2,weight
12,16,-6.9637e-01
12,17,-1.1250e+00
12,18,-5.0497e-01
12,19,1.4317e-01
12,20,1.9699e-01
13,1,1.2918e+00
13,2,1.9569e+00
13,3,1.8106e+00
13,4,-2.7142e-01
13,5,8.4192e-01
13,6,4.9262e-01
13,7,-6.8962e-01
13,8,-7.0489e-01
13,9,-1.6837e+00
13,10,-8.6008e-01
13,11,-2.5118e-01
13,12,-1.4067e-02
13,14,1.7142e+00
13,15,-2.2454e-01
13,16,-1.1095e+00
13,17,1.0743e+00
13,18,-1.3476e+00
13,19,6.9966e-03
13,20,-1.2887e+00
14,1,-3.2588e+00
14,2,-5.8954e-01
14,3,-1.4251e+00
14,4,-2.6921e-01
14,5,-1.4021e+00
14,6,-4.9579e-01
14,7,-4.8266e-02
14,8,-2.1483e+00
14,9,-2.9683e+00
14,10,8.7035e-01
14,11,-8.7290e-01
14,12,9.9702e-02
14,13,-2.3112e+00
14,15,-1.6394e+00
14,16,-8.1888e-01
14,17,-1.3826e+00
14,18,-1.2251e+00
14,19,1.5096e+00
14,20,-1.0366e+00
15,1,-1.2186e+00
15,2,-6.2982e-02
15,3,-7.3006e-01
15,4,-1.1753e-01
15,5,7.0004e-01
15,6,-1.3140e+00
15,7,-1.0063e+00
15,8,-7.9871e-01
15,9,-3.3933e+00
15,10,1.8344e+00
15,11,-6.2498e-01
15,12,-1.7815e+00
15,13,-7.9379e-01
15,14,1.2773e+00
15,16,1.5186e+00
15,17,8.3034e-01
15,18,1.0899e+00
15,19,-1.1074e+00
15,20,-6.0507e-01
16,1,1.3354e+00
16,2,-1.0519e+00
16,3,-9.4857e-01
16,4,-1.4520e-01
16,5,1.4253e+00
16,6,-6.4648e-01
16,7,-6.6924e-01
16,8,-1.6139e+00
16,9,-2.4538e+00
16,10,-1.3244e+00
16,11,-4.5592e-01
16,12,1.5756e+00
16,13,2.2057e+00
16,14,-4.3600e-02
16,15,-1.0528e+00
16,17,-1.0769e+00
16,18,1.9987e+00
16,19,-9.7707e-01
16,20,4.5553e-02
17,1,-4.7553e-01
17,2,-8.1927e-01
17,3,8.7088e-01
17,4,-5.0023e-01
17,5,-1.6253e+00
17,6,-1.5802e+00
17,7,4.1483e-01
