t i j k u[t]
203 2 4 19 -0.15929500000000002
204 2 4 20 -0.250615
205 2 5 6 0.09313650000000001
206 2 5 7 0.084036
207 2 5 8 -0.19231900000000002
208 2 5 9 -0.062436350000000015
209 2 5 10 0.116171
210 2 5 11 0.355591
211 2 5 12 0.003351000000000004
212 2 5 13 -0.070466
213 2 5 14 0.217311
214 2 5 15 -0.066849
215 2 5 16 0.162491
216 2 5 17 0.24516600000000002
217 2 5 18 -0.130049
218 2 5 19 0.051786000000000006
219 2 5 20 0.011521000000000003
220 2 6 7 0.04831145
221 2 6 8 0.004530999999999999
222 2 6 9 -0.10225750000000002
223 2 6 10 0.06889500000000001
224 2 6 11 0.07851450000000003
225 2 6 12 0.006939499999999998
226 2 6 13 0.015178500000000006
227 2 6 14 0.2223345
228 2 6 15 0.1846745
229 2 6 16 0.29060949999999997
230 2 6 17 0.28781
231 2 6 18 -0.0763255
232 2 6 19 -0.024110500000000014
233 2 6 20 -0.043995500000000014
234 2 7 8 -0.129085
235 2 7 9 -0.2183025
236 2 7 10 -0.09617999999999999
237 2 7 11 0.18308550000000004
238 2 7 12 0.085562
239 2 7 13 -0.20468599999999998
240 2 7 14 0.0021300000000000095
241 2 7 15 -0.23009500000000002
242 2 7 16 -0.08594000000000002
243 2 7 17 0.24053249999999998
244 2 7 18 -0.023839999999999993
245 2 7 19 -0.25429500000000005
246 2 7 20 0.0039050000000000027
247 2 8 9 0.01939749999999999
248 2 8 10 -0.024109999999999996
249 2 8 11 0.15259999999999999
250 2 8 12 0.09131550000000002
251 2 8 13 -0.125141
252 2 8 14 0.21515999999999993
253 2 8 15 0.0820655
254 2 8 16 0.19261100000000003
255 2 8 17 0.22935500000000003
256 2 8 18 0.021015000000000006
257 2 8 19 -0.04078500000000001
258 2 8 20 0.18481
259 2 9 10 0.17202250000000002
260 2 9 11 0.328733955
261 2 9 12 0.23329249999999999
262 2 9 13 0.024021000000000004
263 2 9 14 0.3059724999999999
264 2 9 15 -0.08203249999999998
265 2 9 16 0.25133099999999997
266 2 9 17 0.35873000000000005
267 2 9 18 0.209906
268 2 9 19 0.1535325
269 2 9 20 0.235409
270 2 10 11 0.33701
271 2 10 12 0.20297000000000004
272 2 10 13 -0.012375999999999998
273 2 10 14 0.163985
274 2 10 15 -0.09972999999999999
275 2 10 16 0.238715
276 2 10 17 0.2906495
277 2 10 18 0.042198
278 2 10 19 0.11765019999999998
279 2 10 20 0.11388499999999999
280 2 11 12 -0.1130975
281 2 11 13 -0.514451
282 2 11 14 -0.03189000000000003
283 2 11 15 -0.183835
284 2 11 16 -0.05035350000000002
285 2 11 17 0.08408
286 2 11 18 -0.21268549999999997
287 2 11 19 -0.195615
288 2 11 20 -0.12270099999999999
289 2 12 13 -0.283431
290 2 12 14 0.17147749999999998
291 2 12 15 -0.1416
292 2 12 16 0.005494999999999983
293 2 12 17 0.0009999999999999788
294 2 12 18 0.048690000000000004
295 2 12 19 0.039343499999999997
296 2 12 20 -0.075335
297 2 13 14 0.39635549999999997
298 2 13 15 0.128536
299 2 13 16 0.184706
