t i j k u[t]
1 1 2 3 -0.059071999999999986
2 1 2 4 -0.02511944999999998
3 1 2 5 0.016200000000000003
4 1 2 6 0.059488000000000006
5 1 2 7 -0.04293599999999999
6 1 2 8 0.28847100000000003
7 1 2 9 0.023080999999999994
8 1 2 10 -0.06885799999999997
9 1 2 11 -0.2143301
10 1 2 12 0.08008750000000002
11 1 2 13 0.12475500000000003
12 1 2 14 -0.019194999999999983
13 1 2 15 0.044795
14 1 2 16 0.030090000000000016
15 1 2 17 -0.15657
16 1 2 18 -0.022204999999999985
17 1 2 19 -0.17892199999999994
18 1 2 20 0.08032600000000002
19 1 3 4 0.165453
20 1 3 5 0.087252
21 1 3 6 -0.019354999999999997
22 1 3 7 0.029256
23 1 3 8 0.24659700000000004
24 1 3 9 0.02746799999999999
25 1 3 10 0.017402000000000018
26 1 3 11 0.014997499999999995
27 1 3 12 0.24285199999999996
28 1 3 13 0.1595505
29 1 3 14 0.11603199999999995
30 1 3 15 0.05564199999999996
31 1 3 16 0.010217000000000009
32 1 3 17 0.111162
33 1 3 18 -0.098088
34 1 3 19 0.013281500000000002
35 1 3 20 0.218342
36 1 4 5 -0.051769500000000024
37 1 4 6 -0.05171200000000001
38 1 4 7 -0.042301
39 1 4 8 -0.15403499999999992
40 1 4 9 -0.11408900000000001
41 1 4 10 -0.0765075
42 1 4 11 -0.030244000000000004
43 1 4 12 0.15216629999999998
44 1 4 13 0.025559999999999992
45 1 4 14 0.05806999999999999
46 1 4 15 0.06636999999999998
47 1 4 16 0.17093500000000003
48 1 4 17 -0.036978000000000004
49 1 4 18 -0.05218450000000001
50 1 4 19 -0.09977300000000001
51 1 4 20 -0.06584999999999998
52 1 5 6 -0.08410199999999998
53 1 5 7 -0.022147999999999984
54 1 5 8 0.18464500000000003
55 1 5 9 -0.02621149999999999
56 1 5 10 -0.21335999999999997
57 1 5 11 -0.09789899999999997
58 1 5 12 0.1732835
59 1 5 13 0.133435
60 1 5 14 -0.036434999999999995
61 1 5 15 0.037835000000000014
62 1 5 16 0.10628000000000001
63 1 5 17 -0.011905999999999983
64 1 5 18 -0.007191499999999987
65 1 5 19 -0.08476399999999999
66 1 5 20 -0.017229999999999964
67 1 6 7 0.0597315
68 1 6 8 0.23794199999999996
69 1 6 9 0.045232999999999995
70 1 6 10 0.037570000000000006
71 1 6 11 -0.016975499999999998
72 1 6 12 0.13964700000000002
73 1 6 13 0.07939225000000001
74 1 6 14 0.185162
75 1 6 15 0.11709199999999999
76 1 6 16 0.07867350000000001
77 1 6 17 -0.08978299999999996
78 1 6 18 -0.121708
79 1 6 19 -0.024548499999999997
80 1 6 20 0.199902
81 1 7 8 0.296796
82 1 7 9 -0.20504799999999995
83 1 7 10 0.041855
84 1 7 11 -0.061784500000000006
85 1 7 12 0.2963795
86 1 7 13 0.007398000000000004
87 1 7 14 0.12388099999999998
88 1 7 15 0.147831
89 1 7 16 -0.11247899999999998
90 1 7 17 -0.006959000000000004
91 1 7 18 -0.053538999999999996
92 1 7 19 -0.007922000000000004
93 1 7 20 0.25470550000000003
