t i j k u[t]
197 2 4 13 0.07202649999999998
198 2 4 14 0.215444
199 2 4 15 0.24510899999999997
200 2 4 16 -0.014520999999999994
201 2 4 17 -0.037667
202 2 4 18 -0.020537499999999997
203 2 4 19 0.01889900000000001
204 2 4 20 0.146645
205 2 5 6 -0.1192275
206 2 5 7 -0.013672
207 2 5 8 -0.0706925
208 2 5 9 -0.028253500000000004
209 2 5 10 0.051941999999999995
210 2 5 11 -0.08000885
211 2 5 12 0.016435650000000003
212 2 5 13 0.004271999999999987
213 2 5 14 0.169882
214 2 5 15 0.12617649999999997
215 2 5 16 0.017272
216 2 5 17 -0.1298125
217 2 5 18 0.11906549999999999
218 2 5 19 0.014192000000000003
219 2 5 20 0.07929199999999999
220 2 6 7 -0.01777515
221 2 6 8 -0.14705949999999998
222 2 6 9 0.025484499999999997
223 2 6 10 0.21125449999999996
224 2 6 11 -0.13238135
225 2 6 12 -0.0884417
226 2 6 13 0.028204499999999997
227 2 6 14 0.07296949999999999
228 2 6 15 -0.12389049999999999
229 2 6 16 -0.005270499999999999
230 2 6 17 -0.031546
231 2 6 18 0.022058999999999995
232 2 6 19 0.100401
233 2 6 20 0.04719
234 2 7 8 -0.096989
235 2 7 9 0.1032005
236 2 7 10 0.23775500000000002
237 2 7 11 0.01035045
238 2 7 12 0.1111838
239 2 7 13 -0.006590000000000007
240 2 7 14 0.3111355
241 2 7 15 0.17206949999999996
242 2 7 16 0.013403999999999998
243 2 7 17 -0.0127485
244 2 7 18 0.049302500000000006
245 2 7 19 -0.012104999999999987
246 2 7 20 0.145961
247 2 8 9 0.2194285
248 2 8 10 0.170235
249 2 8 11 0.054534149999999997
250 2 8 12 0.16741779999999998
251 2 8 13 0.25189399999999995
252 2 8 14 0.12035399999999999
253 2 8 15 0.028523999999999994
254 2 8 16 0.368704
255 2 8 17 -0.053850499999999996
256 2 8 18 0.0458125
257 2 8 19 0.11564849999999999
258 2 8 20 0.302879
259 2 9 10 0.1384955
260 2 9 11 0.036904650000000004
261 2 9 12 -0.1276707
262 2 9 13 -0.02607949999999999
263 2 9 14 0.189788
264 2 9 15 0.25685549999999996
265 2 9 16 -0.19880949999999997
266 2 9 17 -0.09658549999999998
267 2 9 18 -0.04656299999999999
268 2 9 19 0.019156000000000003
269 2 9 20 -0.1007245
270 2 10 11 -0.12951735
271 2 10 12 0.011108800000000009
272 2 10 13 -0.058876500000000005
273 2 10 14 0.22555
274 2 10 15 -0.020625000000000015
275 2 10 16 -0.017123000000000003
276 2 10 17 -0.21556949999999997
277 2 10 18 -0.23727149999999997
278 2 10 19 -0.15131999999999998
279 2 10 20 -0.10278
280 2 11 12 0.11890465
281 2 11 13 -0.07632414999999998
282 2 11 14 0.24246284999999995
283 2 11 15 0.06975885
284 2 11 16 0.09510535
285 2 11 17 -0.09073865
286 2 11 18 0.15994935
287 2 11 19 0.05945785
288 2 11 20 0.05432135
289 2 12 13 0.052754699999999995
290 2 12 14 0.1646862
291 2 12 15 0.2842812
292 2 12 16 0.003397699999999998
293 2 12 17 0.003639199999999998
294 2 12 18 -0.041365299999999994
295 2 12 19 0.030776199999999997
296 2 12 20 0.09490515
297 2 13 14 0.15234250000000002
298 2 13 15 0.10629499999999999
299 2 13 16 0.11427
300 2 13 17 -0.1453255
301 2 13 18 -0.005210999999999999
302 2 13 19 -0.04636449999999999
303 2 13 20 -0.09775999999999999
304 2 14 15 -0.00938500000000002
305 2 14 16 -0.10998000000000001
306 2 14 17 -0.2581015
307 2 14 18 -0.2446085
308 2 14 19 -0.17478385000000002
309 2 14 20 -0.34775999999999996
310 2 15 16 -0.08263599999999999
311 2 15 17 -0.3559295
312 2 15 18 -0.18650149999999996
313 2 15 19 0.06279000000000001
314 2 15 20 -0.026035499999999986
315 2 16 17 -0.11661499999999998
316 2 16 18 -0.0962915
317 2 16 19 -0.11422
318 2 16 20 0.09013349999999999
319 2 17 18 0.193108
320 2 17 19 0.0701145
321 2 17 20 0.24704949999999995
322 2 18 19 -0.0994335
323 2 18 20 0.17630649999999998
324 2 19 20 -0.12768000000000002
325 3 4 5 0.11328499999999998
326 3 4 6 -0.1482485
327 3 4 7 -0.10495499999999999
328 3 4 8 0.10861824999999997
329 3 4 9 -0.05709999999999998
330 3 4 10 0.1266255
331 3 4 11 0.05429999999999998
332 3 4 12 -0.10338499999999999
333 3 4 13 0.038337500000000004
334 3 4 14 -0.05101549999999999
335 3 4 15 0.15919650000000002
336 3 4 16 0.09118999999999998
337 3 4 17 0.14814849999999996
338 3 4 18 -0.0546435
339 3 4 19 -0.044003499999999994
340 3 4 20 0.039983199999999997
341 3 5 6 -0.21949849999999999
342 3 5 7 -0.136939
343 3 5 8 0.002684499999999995
344 3 5 9 -0.08973499999999998
345 3 5 10 0.008905000000000007
346 3 5 11 -0.023640000000000015
347 3 5 12 -0.10532514999999996
348 3 5 13 -0.088905
349 3 5 14 -0.1560655
350 3 5 15 -0.019223999999999998
351 3 5 16 0.06349499999999998
352 3 5 17 -0.0034850000000000046
353 3 5 18 0.025471500000000005
354 3 5 19 -0.1081985
355 3 5 20 -0.0868578
356 3 6 7 -0.04077115
357 3 6 8 0.02658849999999999
358 3 6 9 0.064274
359 3 6 10 0.26848849999999996
360 3 6 11 0.02425849999999998
361 3 6 12 -0.10993149999999999
362 3 6 13 0.0352985
363 3 6 14 -0.152707
