l i j f[l] s[l] h[l]
110 5 16 -1.2379 -1.6475722222222227 0.0
111 6 16 -2.1382 -1.4771000000000005 2.220446049250313e-16
112 7 16 0.7745 2.615890555555556 0.0
113 8 16 0.75751 -1.0910883333333334 0.0
114 9 16 -2.1521 0.0989338888888889 0.0
115 10 16 2.6201 -1.5133161111111118 8.881784197001252e-16
116 11 16 3.4532 -0.4401400000000001 -2.220446049250313e-16
117 12 16 -1.8907 0.01377111111111104 -4.440892098500626e-16
118 13 16 -0.83203 1.0103133333333334 -4.440892098500626e-16
119 14 16 -1.0033 -1.9689566666666671 2.220446049250313e-16
120 15 16 -0.04511 -2.688840555555556 0.0
121 1 17 -6.1203 2.034688888888889 0.0
122 2 17 3.0184 -1.351853333333334 4.440892098500626e-16
123 3 17 0.16822 0.27365777777777767 -2.220446049250313e-16
124 4 17 0.81086 0.9612566666666669 -4.440892098500626e-16
125 5 17 1.1137 -1.6475722222222227 0.0
126 6 17 -4.3694 -1.4771000000000005 2.220446049250313e-16
127 7 17 3.9858 2.615890555555556 0.0
128 8 17 4.2728 -1.0910883333333334 0.0
129 9 17 -0.047841 0.0989338888888889 0.0
130 10 17 -0.26708 -1.5133161111111118 8.881784197001252e-16
131 11 17 -1.0166 -0.4401400000000001 -2.220446049250313e-16
132 12 17 -2.7622 0.01377111111111104 -4.440892098500626e-16
133 13 17 0.79064 1.0103133333333334 -4.440892098500626e-16
134 14 17 0.010539 -1.9689566666666671 2.220446049250313e-16
135 15 17 3.7942 -2.688840555555556 0.0
136 16 17 1.0947 0.08632277777777739 8.881784197001252e-16
137 1 18 -5.6954 2.034688888888889 0.0
138 2 18 -1.1354 -1.351853333333334 4.440892098500626e-16
139 3 18 -0.53743 0.27365777777777767 -2.220446049250313e-16
140 4 18 -1.4983 0.9612566666666669 -4.440892098500626e-16
141 5 18 -3.8174 -1.6475722222222227 0.0
142 6 18 -1.2912 -1.4771000000000005 2.220446049250313e-16
143 7 18 2.8768 2.615890555555556 0.0
144 8 18 0.14254 -1.0910883333333334 0.0
145 9 18 -1.5439 0.0989338888888889 0.0
146 10 18 2.5663 -1.5133161111111118 8.881784197001252e-16
147 11 18 0.35352 -0.4401400000000001 -2.220446049250313e-16
148 12 18 3.0714 0.01377111111111104 -4.440892098500626e-16
149 13 18 -1.1018 1.0103133333333334 -4.440892098500626e-16
150 14 18 -2.7522 -1.9689566666666671 2.220446049250313e-16
151 15 18 -0.037678 -2.688840555555556 0.0
152 16 18 -1.4249 0.08632277777777739 8.881784197001252e-16
153 17 18 3.7967 2.6698338888888893 -4.440892098500626e-16
