t i j k u[t]
196 2 4 12 0.07596050000000001
197 2 4 13 -0.037615
198 2 4 14 -0.017502000000000007
199 2 4 15 0.06299550000000001
200 2 4 16 0.13499300000000003
201 2 4 17 -0.11077200000000001
202 2 4 18 0.078228
203 2 4 19 0.10397500000000001
204 2 4 20 -0.054032000000000004
205 2 5 6 -0.03286100000000001
206 2 5 7 -0.075195
207 2 5 8 -0.25688000000000005
208 2 5 9 -0.003926999999999997
209 2 5 10 0.09822
210 2 5 11 0.07969999999999997
211 2 5 12 -0.013516499999999999
212 2 5 13 -0.13944299999999998
213 2 5 14 -0.09074
214 2 5 15 0.051264000000000004
215 2 5 16 0.234555
216 2 5 17 -0.0321225
217 2 5 18 0.196746
218 2 5 19 -0.043968
219 2 5 20 0.11808445000000002
220 2 6 7 -0.03101
221 2 6 8 -0.2890015000000001
222 2 6 9 -0.162219
223 2 6 10 -0.090254
224 2 6 11 -0.013888999999999997
225 2 6 12 -0.0924315
226 2 6 13 -0.11693699999999999
227 2 6 14 -0.03790399999999999
228 2 6 15 -0.050277499999999996
229 2 6 16 0.11640599999999998
230 2 6 17 -0.15277500000000002
231 2 6 18 -0.05193399999999999
232 2 6 19 0.002177999999999991
233 2 6 20 -0.197719
234 2 7 8 -0.18141000000000004
235 2 7 9 -0.043320000000000004
236 2 7 10 0.254735
237 2 7 11 0.0847395
238 2 7 12 0.046112499999999994
239 2 7 13 -0.243083
240 2 7 14 0.019514999999999994
241 2 7 15 -0.0268795
242 2 7 16 0.41616
243 2 7 17 -0.05817500000000001
244 2 7 18 0.231005
245 2 7 19 0.022441999999999993
246 2 7 20 0.0264485
247 2 8 9 0.14270400000000003
248 2 8 10 0.332247
249 2 8 11 0.4233770000000001
250 2 8 12 0.035302500000000035
251 2 8 13 0.22921000000000008
252 2 8 14 0.09480000000000002
253 2 8 15 0.18504700000000002
254 2 8 16 0.39309000000000005
255 2 8 17 0.1871985
256 2 8 18 0.18646000000000004
257 2 8 19 0.2058345
258 2 8 20 0.216086
259 2 9 10 0.08601500000000001
260 2 9 11 -0.006635000000000036
261 2 9 12 -0.09927750000000002
262 2 9 13 -0.06992300000000003
263 2 9 14 -0.0507525
264 2 9 15 0.1281425
265 2 9 16 0.329318
266 2 9 17 0.070635
267 2 9 18 0.05433499999999998
268 2 9 19 -0.005814000000000003
269 2 9 20 0.10405249999999999
270 2 10 11 -0.20556000000000002
