t i j k u[t]
195 2 4 11 0.20780099999999996
196 2 4 12 0.010057500000000002
197 2 4 13 -0.20839699999999997
198 2 4 14 0.175421
199 2 4 15 0.03197
200 2 4 16 0.173996
201 2 4 17 0.010464
202 2 4 18 -0.0728665
203 2 4 19 0.07104699999999999
204 2 4 20 0.05503449999999999
205 2 5 6 0.097195
206 2 5 7 0.16058
207 2 5 8 0.074446
208 2 5 9 -0.035800000000000005
209 2 5 10 -0.012624999999999996
210 2 5 11 0.40961
211 2 5 12 0.15927449999999999
212 2 5 13 0.034555
213 2 5 14 0.132795
214 2 5 15 0.18371349999999997
215 2 5 16 0.24828499999999998
216 2 5 17 0.13021850000000001
217 2 5 18 0.10017999999999999
218 2 5 19 0.183411
219 2 5 20 -0.008251999999999992
220 2 6 7 0.127495
221 2 6 8 0.057328500000000004
222 2 6 9 -0.058649999999999994
223 2 6 10 0.1985777
224 2 6 11 0.353765
225 2 6 12 -0.10405249999999999
226 2 6 13 -0.008939000000000002
227 2 6 14 0.346615
228 2 6 15 0.0456985
229 2 6 16 0.12904899999999997
230 2 6 17 -0.11525149999999997
231 2 6 18 -0.13693499999999997
232 2 6 19 0.167301
233 2 6 20 0.17151899999999998
234 2 7 8 0.08319499999999999
235 2 7 9 -0.25214000000000003
236 2 7 10 0.33365
237 2 7 11 0.29768
238 2 7 12 0.18609099999999998
239 2 7 13 -0.21463499999999996
240 2 7 14 0.16733999999999996
241 2 7 15 0.020313499999999995
242 2 7 16 0.06034999999999998
243 2 7 17 0.087278
244 2 7 18 -0.144695
245 2 7 19 0.153636
246 2 7 20 0.048857999999999985
247 2 8 9 -0.07431000000000001
248 2 8 10 -0.008515000000000005
249 2 8 11 0.18867150000000002
250 2 8 12 0.07841
251 2 8 13 -0.0793345
252 2 8 14 0.17364349999999998
253 2 8 15 0.036633500000000006
254 2 8 16 0.03557999999999999
255 2 8 17 0.14995350000000002
256 2 8 18 -0.031834999999999995
257 2 8 19 0.14875599999999997
258 2 8 20 -0.13310199999999997
259 2 9 10 0.537935
260 2 9 11 0.40682549999999995
261 2 9 12 0.10043749999999999
262 2 9 13 -0.03996999999999999
263 2 9 14 0.11599000000000004
264 2 9 15 -0.17540150000000002
265 2 9 16 0.09312499999999999
266 2 9 17 -0.08032149999999998
267 2 9 18 -0.017815
268 2 9 19 0.32315099999999997
269 2 9 20 0.18430799999999997
270 2 10 11 -0.179525
271 2 10 12 -0.10583249999999998
272 2 10 13 -0.36604499999999995
273 2 10 14 0.17114
274 2 10 15 0.0825785
275 2 10 16 -0.026507999999999997
276 2 10 17 -0.0005564999999999931
277 2 10 18 -0.044215
278 2 10 19 -0.022668999999999995
279 2 10 20 -0.007564499999999997
280 2 11 12 -0.121584
281 2 11 13 -0.325613
282 2 11 14 -0.07019
283 2 11 15 -0.1615965
284 2 11 16 -0.096703
285 2 11 17 -0.2875415
286 2 11 18 -0.2296145
287 2 11 19 -0.20934899999999998
288 2 11 20 -0.333422
289 2 12 13 -0.10448249999999999
290 2 12 14 0.10922399999999997
291 2 12 15 -0.166064
292 2 12 16 0.0764475
293 2 12 17 -0.106149
294 2 12 18 -0.08295499999999999
295 2 12 19 -0.11981350000000002
296 2 12 20 -0.041015499999999996
297 2 13 14 0.09011
298 2 13 15 0.198003
299 2 13 16 0.38175
300 2 13 17 0.029573500000000006
301 2 13 18 0.23673499999999997
302 2 13 19 0.183836
303 2 13 20 0.275763
304 2 14 15 0.15117849999999997
305 2 14 16 -0.040304999999999994
306 2 14 17 -0.028246499999999994
307 2 14 18 -0.15233999999999995
308 2 14 19 -0.24243399999999998
309 2 14 20 -0.13239749999999997
310 2 15 16 -0.16262349999999998
311 2 15 17 -0.15919999999999998
312 2 15 18 -0.21524349999999998
313 2 15 19 0.010742499999999992
314 2 15 20 0.04825399999999999
315 2 16 17 -0.024880000000000003
316 2 16 18 -0.19073499999999996
317 2 16 19 -0.048296
318 2 16 20 -0.091732
319 2 17 18 -0.0406815
320 2 17 19 0.10908249999999999
321 2 17 20 -0.21861049999999996
322 2 18 19 0.109291
323 2 18 20 0.07491799999999998
324 2 19 20 0.07047749999999998
325 3 4 5 -0.013271500000000004
326 3 4 6 0.19488914999999998
327 3 4 7 0.2507135
328 3 4 8 -0.09205649999999999
329 3 4 9 -0.025696499999999987
330 3 4 10 0.017213999999999997
331 3 4 11 0.0530595
332 3 4 12 0.11759249999999999
333 3 4 13 0.013020499999999999
334 3 4 14 0.18309349999999996
335 3 4 15 0.11734399999999999
336 3 4 16 0.2813435
337 3 4 17 -0.033583
338 3 4 18 0.0004269999999999996
339 3 4 19 0.21396849999999998
340 3 4 20 0.005571249999999999
341 3 5 6 0.265695
342 3 5 7 0.247825
343 3 5 8 0.04980599999999999
344 3 5 9 -0.038655000000000016
345 3 5 10 -0.24027349999999997
346 3 5 11 0.104101
347 3 5 12 0.11604199999999996
348 3 5 13 0.10520499999999998
349 3 5 14 -0.010299999999999997
350 3 5 15 0.11832
351 3 5 16 0.20486499999999996
352 3 5 17 -0.064596
353 3 5 18 0.022705999999999994
354 3 5 19 0.175565
355 3 5 20 -0.20848274999999997
356 3 6 7 0.04623999999999999
357 3 6 8 -0.1358115
358 3 6 9 -0.23000499999999996
359 3 6 10 -0.19757079999999996
360 3 6 11 -0.12024399999999999
361 3 6 12 -0.3157849999999999
362 3 6 13 -0.106789
363 3 6 14 0.03502
364 3 6 15 -0.18819499999999995
365 3 6 16 -0.082871
366 3 6 17 -0.478566
367 3 6 18 -0.38290899999999994
368 3 6 19 -0.00904499999999999
369 3 6 20 -0.19721174999999996
370 3 7 8 -0.02868999999999999
371 3 7 9 -0.34224
372 3 7 10 0.01875650000000002
373 3 7 11 -0.09507399999999999
374 3 7 12 0.055613499999999996
375 3 7 13 -0.23123
376 3 7 14 -0.063
377 3 7 15 -0.13232499999999997
378 3 7 16 -0.070315
379 3 7 17 -0.19478149999999994
380 3 7 18 -0.30941399999999997
381 3 7 19 0.05854500000000001
382 3 7 20 -0.23861775
383 3 8 9 -0.052525000000000016
384 3 8 10 -0.2115235
385 3 8 11 -0.09219749999999999
386 3 8 12 0.059817499999999996
387 3 8 13 0.0159555
388 3 8 14 0.05518849999999999
389 3 8 15 -0.00411999999999999
390 3 8 16 0.016799999999999992
391 3 8 17 -0.020221
392 3 8 18 -0.08466899999999998
393 3 8 19 0.16554999999999997
394 3 8 20 -0.30869274999999996
395 3 9 10 0.31314149999999996
396 3 9 11 0.10417149999999997
397 3 9 12 0.06006
398 3 9 13 0.033535
399 3 9 14 -0.02424999999999997
400 3 9 15 -0.23794000000000004
401 3 9 16 0.05255999999999999
402 3 9 17 -0.272281
403 3 9 18 -0.092434
