l i j f[l] s[l] h[l]
104 13 15 2.185 0.23944700000000008 0.0
105 14 15 2.8735 -0.7626179999999996 -2.220446049250313e-16
106 1 16 -4.0005 -0.8377070000000002 -4.440892098500626e-16
107 2 16 0.20021 -0.7996845000000001 -6.661338147750939e-16
108 3 16 -1.5807 4.6234225 0.0
109 4 16 -1.6753 -0.7716194999999999 -6.661338147750939e-16
110 5 16 2.4045 -0.8598925 -2.220446049250313e-16
111 6 16 -1.6129 1.1666649999999998 2.220446049250313e-16
112 7 16 -2.9845 -0.05429200000000009 -4.440892098500626e-16
113 8 16 -1.7812 1.2575649999999998 5.551115123125783e-17
114 9 16 4.449 -0.4705075 2.220446049250313e-16
115 10 16 0.85148 -2.1055724999999996 -2.220446049250313e-16
116 11 16 1.3221 2.3302024999999995 0.0
117 12 16 1.9061 -0.9227305 -1.6653345369377348e-16
118 13 16 3.0772 0.23944700000000008 0.0
119 14 16 2.1878 -0.7626179999999996 -2.220446049250313e-16
120 15 16 -1.1099 2.7555544999999997 2.220446049250313e-16
121 1 17 -4.0928 -0.8377070000000002 -4.440892098500626e-16
122 2 17 -0.69048 -0.7996845000000001 -6.661338147750939e-16
123 3 17 -2.6252 4.6234225 0.0
124 4 17 -4.1372 -0.7716194999999999 -6.661338147750939e-16
125 5 17 -0.38064 -0.8598925 -2.220446049250313e-16
126 6 17 -0.88108 1.1666649999999998 2.220446049250313e-16
127 7 17 -0.70431 -0.05429200000000009 -4.440892098500626e-16
128 8 17 -2.0452 1.2575649999999998 5.551115123125783e-17
129 9 17 1.9308 -0.4705075 2.220446049250313e-16
130 10 17 -1.295 -2.1055724999999996 -2.220446049250313e-16
131 11 17 1.1986 2.3302024999999995 0.0
132 12 17 -0.55779 -0.9227305 -1.6653345369377348e-16
133 13 17 2.2799 0.23944700000000008 0.0
134 14 17 -0.55503 -0.7626179999999996 -2.220446049250313e-16
135 15 17 -1.2668 2.7555544999999997 2.220446049250313e-16
136 16 17 -3.0227 0.7781486 -4.440892098500626e-16
137 1 18 -4.4796 -0.8377070000000002 -4.440892098500626e-16
138 2 18 -2.7333 -0.7996845000000001 -6.661338147750939e-16
139 3 18 -1.9103 4.6234225 0.0
140 4 18 -4.6665 -0.7716194999999999 -6.661338147750939e-16
141 5 18 -2.1426 -0.8598925 -2.220446049250313e-16
142 6 18 -1.7243 1.1666649999999998 2.220446049250313e-16
143 7 18 -0.22279 -0.05429200000000009 -4.440892098500626e-16
144 8 18 -3.6276 1.2575649999999998 5.551115123125783e-17
145 9 18 2.9754 -0.4705075 2.220446049250313e-16
146 10 18 -3.2084 -2.1055724999999996 -2.220446049250313e-16
