l i j f[l] s[l] h[l]
105 14 15 1.9539 2.4670037500000004 -4.440892098500626e-16
106 1 16 -2.6627 3.44815125 4.440892098500626e-16
107 2 16 -3.2339 1.4898815 -2.220446049250313e-16
108 3 16 -3.0245 -0.40788975 -3.885780586188048e-16
109 4 16 -2.7835 -0.22695050000000003 4.440892098500626e-16
110 5 16 -1.0414 -0.5408017499999999 -1.1102230246251565e-16
111 6 16 0.20946 1.018058 6.661338147750939e-16
112 7 16 -6.5073 -1.4678965000000004 2.220446049250313e-16
113 8 16 -5.5776 -0.024147750000000148 0.0
114 9 16 0.040518 -1.375678 2.220446049250313e-16
115 10 16 0.63966 -2.4454459999999996 -5.551115123125783e-16
116 11 16 0.092136 1.0100932499999997 4.440892098500626e-16
117 12 16 -0.22536 0.7938069999999999 0.0
118 13 16 0.94531 -0.1419282500000001 4.440892098500626e-16
119 14 16 0.0092066 2.4670037500000004 -4.440892098500626e-16
120 15 16 -2.2024 -1.14513025 1.1102230246251565e-16
121 1 17 -3.4818 3.44815125 4.440892098500626e-16
122 2 17 -1.9523 1.4898815 -2.220446049250313e-16
123 3 17 -5.0511 -0.40788975 -3.885780586188048e-16
124 4 17 -1.4602 -0.22695050000000003 4.440892098500626e-16
125 5 17 -0.63596 -0.5408017499999999 -1.1102230246251565e-16
126 6 17 -0.99479 1.018058 6.661338147750939e-16
127 7 17 -1.2373 -1.4678965000000004 2.220446049250313e-16
128 8 17 -5.4341 -0.024147750000000148 0.0
129 9 17 -3.0376 -1.375678 2.220446049250313e-16
130 10 17 -5.4204 -2.4454459999999996 -5.551115123125783e-16
131 11 17 1.2217 1.0100932499999997 4.440892098500626e-16
132 12 17 -2.4046 0.7938069999999999 0.0
133 13 17 0.89678 -0.1419282500000001 4.440892098500626e-16
134 14 17 0.47871 2.4670037500000004 -4.440892098500626e-16
135 15 17 2.9245 -1.14513025 1.1102230246251565e-16
136 16 17 3.877 -0.39819700000000013 2.220446049250313e-16
137 1 18 -9.0138 3.44815125 4.440892098500626e-16
138 2 18 -4.3552 1.4898815 -2.220446049250313e-16
139 3 18 -1.2799 -0.40788975 -3.885780586188048e-16
140 4 18 -3.9684 -0.22695050000000003 4.440892098500626e-16
141 5 18 -3.3805 -0.5408017499999999 -1.1102230246251565e-16
142 6 18 -5.9419 1.018058 6.661338147750939e-16
143 7 18 -2.6551 -1.4678965000000004 2.220446049250313e-16
144 8 18 -3.26 -0.024147750000000148 0.0
145 9 18 -2.2341 -1.375678 2.220446049250313e-16
146 10 18 -5.9462 -2.4454459999999996 -5.551115123125783e-16
147 11 18 -0.58531 1.0100932499999997 4.440892098500626e-16
148 12 18 1.9827 0.7938069999999999 0.0
149 13 18 0.33594 -0.1419282500000001 4.440892098500626e-16
150 14 18 1.2688 2.4670037500000004 -4.440892098500626e-16
151 15 18 -1.6851 -1.14513025 1.1102230246251565e-16
152 16 18 1.1603 -0.39819700000000013 2.220446049250313e-16
153 17 18 -0.43775 0.8255017499999997 2.220446049250313e-16
154 1 19 -4.9487 3.44815125 4.440892098500626e-16
155 2 19 -1.3319 1.4898815 -2.220446049250313e-16
156 3 19 -2.6061 -0.40788975 -3.885780586188048e-16
157 4 19 -3.0339 -0.22695050000000003 4.440892098500626e-16
158 5 19 -2.9596 -0.5408017499999999 -1.1102230246251565e-16
159 6 19 -3.1623 1.018058 6.661338147750939e-16
160 7 19 -2.0137 -1.4678965000000004 2.220446049250313e-16
161 8 19 -5.0047 -0.024147750000000148 0.0
162 9 19 -1.374 -1.375678 2.220446049250313e-16
163 10 19 -0.5312 -2.4454459999999996 -5.551115123125783e-16
164 11 19 -0.65042 1.0100932499999997 4.440892098500626e-16
165 12 19 2.8379 0.7938069999999999 0.0
166 13 19 -0.53991 -0.1419282500000001 4.440892098500626e-16
167 14 19 -3.8584 2.4670037500000004 -4.440892098500626e-16
168 15 19 -0.89862 -1.14513025 1.1102230246251565e-16
169 16 19 -1.8693 -0.39819700000000013 2.220446049250313e-16
170 17 19 -1.795 0.8255017499999997 2.220446049250313e-16
171 18 19 1.5781 -0.8128784999999998 2.220446049250313e-16
172 1 20 -1.9097 3.44815125 4.440892098500626e-16
173 2 20 -2.9225 1.4898815 -2.220446049250313e-16
174 3 20 -2.284 -0.40788975 -3.885780586188048e-16
175 4 20 -1.0567 -0.22695050000000003 4.440892098500626e-16
176 5 20 -2.7789 -0.5408017499999999 -1.1102230246251565e-16
177 6 20 -1.6082 1.018058 6.661338147750939e-16
178 7 20 -0.64266 -1.4678965000000004 2.220446049250313e-16
179 8 20 1.1163 -0.024147750000000148 0.0
180 9 20 -0.77134 -1.375678 2.220446049250313e-16
181 10 20 -1.3974 -2.4454459999999996 -5.551115123125783e-16
182 11 20 0.76167 1.0100932499999997 4.440892098500626e-16
183 12 20 1.9457 0.7938069999999999 0.0
184 13 20 0.098254 -0.1419282500000001 4.440892098500626e-16
185 14 20 2.1526 2.4670037500000004 -4.440892098500626e-16
186 15 20 -1.1261 -1.14513025 1.1102230246251565e-16
187 16 20 3.1857 -0.39819700000000013 2.220446049250313e-16
188 17 20 3.2944 0.8255017499999997 2.220446049250313e-16
189 18 20 -0.12117 -0.8128784999999998 2.220446049250313e-16
190 19 20 2.2947 -0.1334565000000001 -1.1102230246251565e-16
