l i j f[l] s[l] h[l]
118 13 16 1.5335 0.6600183499999999 0.0
119 14 16 2.7481 0.3388555999999999 0.0
120 15 16 -1.8989 -0.7140141499999998 -2.220446049250313e-16
121 1 17 -3.6697 -0.8677159999999996 0.0
122 2 17 -2.8566 0.9739315000000002 -2.220446049250313e-16
123 3 17 -1.1829 0.13982750000000013 0.0
124 4 17 1.2029 0.09587424999999994 0.0
125 5 17 -2.5814 -0.66031975 -1.1102230246251565e-16
126 6 17 -3.5115 1.01056275 0.0
127 7 17 -1.2355 0.18821699999999986 0.0
128 8 17 1.6699 1.3255329999999996 3.3306690738754696e-16
129 9 17 -3.8243 -0.1557944999999999 0.0
130 10 17 0.99536 -0.85251725 0.0
131 11 17 -1.4911 -1.54597015 -4.440892098500626e-16
132 12 17 -1.4656 1.6627458499999999 1.1102230246251565e-16
133 13 17 -1.4842 0.6600183499999999 0.0
134 14 17 0.21773 0.3388555999999999 0.0
135 15 17 -1.9009 -0.7140141499999998 -2.220446049250313e-16
136 16 17 -0.54446 0.3643362499999999 4.440892098500626e-16
137 1 18 -2.6228 -0.8677159999999996 0.0
138 2 18 1.1706 0.9739315000000002 -2.220446049250313e-16
139 3 18 -3.21 0.13982750000000013 0.0
140 4 18 -0.39945 0.09587424999999994 0.0
141 5 18 0.46994 -0.66031975 -1.1102230246251565e-16
142 6 18 -2.4765 1.01056275 0.0
143 7 18 -3.526 0.18821699999999986 0.0
144 8 18 2.9906 1.3255329999999996 3.3306690738754696e-16
145 9 18 -4.5472 -0.1557944999999999 0.0
146 10 18 3.7737 -0.85251725 0.0
147 11 18 -1.4038 -1.54597015 -4.440892098500626e-16
148 12 18 1.8334 1.6627458499999999 1.1102230246251565e-16
149 13 18 0.26732 0.6600183499999999 0.0
150 14 18 -0.083867 0.3388555999999999 0.0
151 15 18 -5.4271 -0.7140141499999998 -2.220446049250313e-16
152 16 18 -1.2657 0.3643362499999999 4.440892098500626e-16
153 17 18 0.59155 1.9780522500000002 0.0
154 1 19 -3.1577 -0.8677159999999996 0.0
155 2 19 2.1606 0.9739315000000002 -2.220446049250313e-16
156 3 19 -3.5936 0.13982750000000013 0.0
157 4 19 2.4009 0.09587424999999994 0.0
158 5 19 0.77483 -0.66031975 -1.1102230246251565e-16
159 6 19 1.2536 1.01056275 0.0
160 7 19 0.39671 0.18821699999999986 0.0
161 8 19 2.9328 1.3255329999999996 3.3306690738754696e-16
162 9 19 -2.165 -0.1557944999999999 0.0
163 10 19 1.9976 -0.85251725 0.0
164 11 19 -2.0439 -1.54597015 -4.440892098500626e-16
165 12 19 -0.2912 1.6627458499999999 1.1102230246251565e-16
166 13 19 2.1599 0.6600183499999999 0.0
167 14 19 1.7672 0.3388555999999999 0.0
168 15 19 4.8319 -0.7140141499999998 -2.220446049250313e-16
169 16 19 1.3429 0.3643362499999999 4.440892098500626e-16
170 17 19 0.26951 1.9780522500000002 0.0
171 18 19 2.0907 -1.80067525 0.0
