i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.417271 7 95.0
2 3.4112445 1 91.0
3 1.7394165 2 77.0
4 1.4931537499999998 6 72.0
5 1.23118475 8 72.0
6 1.6840123099999997 3 64.0
7 1.5255546499999997 4 60.0
8 1.01351285 9 57.0
9 1.4959715 5 54.0
10 0.8653599999999999 10 54.0
11 0.50125805 13 43.0
12 0.6374549 12 41.0
13 0.3105224999999999 16 40.0
14 0.3953394499999999 14 40.0
15 0.6616882500000001 11 39.0
16 0.36985171500000014 15 39.0
17 0.13978852500000016 19 38.0
18 0.19162745000000014 18 35.0
19 0.0 20 25.0
20 0.19347734999999988 17 21.0
