i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7141365000000001 9 93.0
2 0.0961344999999999 19 79.0
3 2.499469 1 76.0
4 0.5974035 12 73.0
5 0.0 20 61.0
6 0.4943990000000001 15 60.0
7 0.7004 11 58.0
8 0.5081355000000001 14 55.0
9 2.0874715000000004 2 51.0
10 0.8652040000000001 7 51.0
11 1.6411365 3 49.0
12 1.2497305 4 49.0
13 0.947602 6 49.0
14 0.10300150000000019 18 47.0
15 0.453194 16 46.0
16 1.1467345 5 43.0
17 0.8033965000000001 8 43.0
18 0.7072710000000001 10 29.0
19 0.5630715000000001 13 22.0
20 0.43946849999999993 17 20.0
