i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.0944062000000008 1 93.0
2 0.5344366500000004 14 79.0
3 1.8997585000000008 2 76.0
4 0.6842691500000004 12 73.0
5 0.7021327500000003 11 61.0
6 1.1108209000000004 8 60.0
7 1.2108388500000005 7 58.0
8 0.10254680000000016 19 55.0
9 1.3765802000000007 3 51.0
10 0.6782506000000004 13 51.0
11 1.2826735500000004 4 49.0
12 0.39510735000000025 15 49.0
13 1.2766634000000006 5 49.0
14 0.0 20 47.0
15 0.37752838000000033 16 46.0
16 0.8373515000000005 9 43.0
17 0.29822990000000027 17 43.0
18 0.7334547000000003 10 29.0
19 1.2120784000000004 6 22.0
20 0.26567622000000013 18 20.0
