i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.341865 5 95.0
2 3.7094029999999996 1 91.0
3 2.2051279999999998 7 77.0
4 2.0170879999999998 8 72.0
5 2.598287 2 72.0
6 2.3076939999999997 6 64.0
7 2.341871 4 60.0
8 2.495724 3 57.0
9 0.803431 18 54.0
10 1.2649650000000001 15 54.0
11 1.3333369999999998 12 43.0
12 1.35042 11 41.0
13 1.829057 9 40.0
14 1.264964 16 40.0
15 1.4871779999999999 10 39.0
16 0.6666699999999999 19 39.0
17 0.8888880000000001 17 38.0
18 1.2820459999999998 14 35.0
19 0.0 20 25.0
20 1.316244 13 21.0
