i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.3689913 1 100.0
2 1.2300512999999997 7 81.0
3 2.0599822999999997 3 77.0
4 1.7538754499999998 4 75.0
5 1.4668766649999998 5 70.0
6 2.5250448 2 63.0
7 0.11436873999999964 18 54.0
8 0.6678472999999997 11 49.0
9 0.9140101499999996 9 47.0
10 0.12120129999999985 17 44.0
11 0.6718049499999997 10 44.0
12 0.5604767099999995 13 44.0
13 0.39685187499999963 15 42.0
14 1.0796000999999997 8 41.0
15 0.07869769999999976 19 40.0
16 0.5679213 12 37.0
17 1.3666387999999998 6 36.0
18 0.45432803499999974 14 33.0
19 0.3868872249999997 16 33.0
20 0.0 20 31.0
