i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.13585845 6 95.0
2 2.0110956999999994 1 91.0
3 1.4958056499999999 2 77.0
4 1.4838880999999997 3 72.0
5 0.9870686999999999 7 72.0
6 1.3519932 4 64.0
7 0.8597632 8 60.0
8 1.2700972499999998 5 57.0
9 0.32180720000000007 17 54.0
10 0.5046395499999999 12 54.0
11 0.4127727999999999 15 43.0
12 0.3956931499999999 16 41.0
13 0.454688 13 40.0
14 0.57342015 9 40.0
15 0.2230802500000001 18 39.0
16 0.09688110000000005 19 39.0
17 0.4370224000000001 14 38.0
18 0.5176778 11 35.0
19 0.0 20 25.0
20 0.5669613499999999 10 21.0
