i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.966063405555555 1 84.0
2 0.19926729444444424 13 63.0
3 0.7491778499999997 5 55.0
4 1.2624967388888884 2 54.0
5 1.065048794444444 4 54.0
6 1.190543405555555 3 53.0
7 0.02554523888888871 17 51.0
8 0.5070111833333331 8 49.0
9 0.7073835166666663 6 47.0
10 0.08723812777777773 15 43.0
11 0.34170340555555534 11 42.0
12 0.28695951666666647 12 41.0
13 0.17781040555555538 14 39.0
14 0.0 18 36.0
15 0.049009961111111 16 36.0
16 0.43877229444444427 9 33.0
17 0.5727278111111108 7 31.0
18 0.40145234999999974 10 22.0
