i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.7308494399999996 1 100.0
2 1.3755374649999998 6 81.0
3 2.16776049 2 77.0
4 1.9192420149999998 3 75.0
5 1.5940812149999999 5 70.0
6 1.726823415 4 63.0
7 0.23721571499999994 16 54.0
8 0.48746011499999986 11 49.0
9 0.5828129399999998 9 47.0
10 0.03838721499999975 18 44.0
11 0.3517920649999998 15 44.0
12 0.5296792299999998 10 44.0
13 0.3979328149999998 13 42.0
14 0.6365268149999999 8 41.0
15 0.23642536499999978 17 40.0
16 0.37755536499999987 14 37.0
17 1.05325999 7 36.0
18 0.0 20 33.0
19 0.43280326499999994 12 33.0
20 0.019869364999999695 19 31.0
