i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.8541160000000003 1 93.0
2 1.1798835 8 80.0
3 0.44948200000000005 18 78.0
4 1.8353870000000003 2 77.0
5 1.2173435000000001 6 58.0
6 1.4982730000000002 4 55.0
7 0.48693499999999995 16 55.0
8 0.524408 15 54.0
9 0.8427765 14 52.0
10 1.7604730000000002 3 51.0
11 0.842782 12 48.0
12 0.4494905 17 47.0
13 0.0 20 45.0
14 1.0300685 9 41.0
15 1.2360840000000002 5 38.0
16 0.9738715000000001 10 38.0
17 1.179885 7 38.0
18 0.4120250000000001 19 37.0
19 0.8615060000000001 11 33.0
20 0.8427800000000001 13 26.0
