i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.0374383333333332 1 84.0
2 0.20002411111111118 16 63.0
3 0.6521782777777778 7 55.0
4 1.3593405555555558 4 54.0
5 1.4384919444444448 2 54.0
6 1.4324077222222225 3 53.0
7 0.0 18 51.0
8 0.5045717222222224 10 49.0
9 0.9075795888888889 6 47.0
10 0.2013083333333333 15 43.0
11 0.6399722777777779 8 42.0
12 0.360523888888889 14 41.0
13 0.37947555555555557 13 39.0
14 0.04891961111111098 17 36.0
15 0.48992572222222225 11 36.0
16 0.6216326333333334 9 33.0
17 1.0039263333333335 5 31.0
18 0.473913388888889 12 22.0
