i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.5197667 1 93.0
2 1.5715488144999998 3 80.0
3 1.4386135999999998 7 78.0
4 1.8161446449999998 2 77.0
5 1.4588278749999999 6 58.0
6 1.4892480854999999 5 55.0
7 1.1937627499999999 11 55.0
8 1.37805328 9 54.0
9 1.12235 13 52.0
10 1.3433316 10 51.0
11 0.8027847499999998 17 48.0
12 1.3888907499999998 8 47.0
13 0.0 20 45.0
14 0.8130425499999998 16 41.0
15 1.5346292 4 38.0
16 1.0642984 14 38.0
17 0.6984816999999998 19 38.0
18 0.8757677999999998 15 37.0
19 0.7668155999999998 18 33.0
20 1.1431558999999998 12 26.0
