i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.8924978888888888 1 84.0
2 0.27498894444444455 15 63.0
3 0.9431270555555558 4 55.0
4 1.091731777777778 2 54.0
5 0.8534921666666668 5 54.0
6 1.0663618333333336 3 53.0
7 0.13582526111111115 16 51.0
8 0.5596595555555557 8 49.0
9 0.650209388888889 6 47.0
10 0.33430383333333347 14 43.0
11 0.4200933888888891 12 42.0
12 0.4610255555555557 10 41.0
13 0.39900888888888897 13 39.0
14 0.11453373888888901 17 36.0
15 0.0 18 36.0
16 0.5835884444444446 7 33.0
17 0.5192227777777779 9 31.0
18 0.43739150000000027 11 22.0
