i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.8287906 1 93.0
2 1.2346111999999998 5 80.0
3 0.66432115 14 78.0
4 1.10246315 6 77.0
5 1.40564074 2 58.0
6 0.81019237 11 55.0
7 0.5673526 16 55.0
8 0.3304216000000001 19 54.0
9 0.6649033499999999 13 52.0
10 1.0916666 7 51.0
11 0.48253029000000003 18 48.0
12 0.94430965 9 47.0
13 0.0 20 45.0
14 0.946228 8 41.0
15 1.2366251 4 38.0
16 0.7046861 12 38.0
17 0.9205250999999999 10 38.0
18 0.5014186000000002 17 37.0
19 0.6358322000000001 15 33.0
20 1.2703935999999998 3 26.0
