i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 4.046223 1 100.0
2 1.2596880000000004 7 81.0
3 2.3475920000000006 4 77.0
4 3.091932000000001 2 75.0
5 2.233061 5 70.0
6 2.8438160000000003 3 63.0
7 0.0 20 54.0
8 0.45807100000000023 16 49.0
9 0.7825350000000001 12 47.0
10 0.9161410000000001 11 44.0
11 0.935226 10 44.0
12 0.49624800000000013 15 44.0
13 0.40080800000000016 18 42.0
14 1.2978550000000002 6 41.0
15 0.7252770000000002 13 40.0
16 1.0497420000000002 9 37.0
17 1.1069900000000001 8 36.0
18 0.40081100000000003 17 33.0
19 0.13361200000000006 19 33.0
20 0.6680120000000002 14 31.0
