i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.7197885999999996 2 93.0
2 0.1893866999999999 18 79.0
3 1.5380082499999996 3 76.0
4 0.27662384999999995 15 73.0
5 0.267056 16 61.0
6 0.8895420999999998 7 60.0
7 1.0167454999999999 5 58.0
8 0.5341357499999999 10 55.0
9 1.9739961999999998 1 51.0
10 0.6158874499999999 9 51.0
11 1.2759320999999997 4 49.0
12 0.29357200000000017 14 49.0
13 0.461021 12 49.0
14 0.0 20 47.0
15 0.456632 13 46.0
16 0.6248179999999999 8 43.0
17 0.24371239999999994 17 43.0
18 0.5184824499999999 11 29.0
19 0.9457102999999998 6 22.0
20 0.16258934999999997 19 20.0
