i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4948965250000008 1 93.0
2 0.8813015250000003 7 80.0
3 0.8028865250000004 8 78.0
4 1.0466734100000004 3 77.0
5 0.6711709650000003 10 58.0
6 0.6829535750000002 9 55.0
7 0.9549538750000004 6 55.0
8 0.9837336750000003 4 54.0
9 0.46483479000000016 15 52.0
10 1.1684952400000004 2 51.0
11 0.33054777500000004 17 48.0
12 0.38583208500000005 16 47.0
13 0.0 20 45.0
14 0.5923775250000002 12 41.0
15 0.9673790250000003 5 38.0
16 0.11027752499999999 19 38.0
17 0.6460874100000003 11 38.0
18 0.5747109000000001 13 37.0
19 0.47809852500000016 14 33.0
20 0.3070796250000001 18 26.0
