i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.1394790000000004 6 95.0
2 2.0357404500000005 1 91.0
3 1.4997958500000004 2 77.0
4 1.2774970500000005 3 72.0
5 0.8412690350000003 8 72.0
6 1.1394871500000003 5 64.0
7 1.1770448500000004 4 60.0
8 0.8556524500000003 7 57.0
9 0.8401373500000003 9 54.0
10 0.6905469500000003 10 54.0
11 0.24934265000000033 14 43.0
12 0.41570785000000027 11 41.0
13 0.21188955000000037 15 40.0
14 0.05983755000000013 19 40.0
15 0.3044394500000003 12 39.0
16 0.1990879500000004 16 39.0
17 0.1584279150000003 17 38.0
18 0.0 20 35.0
19 0.11162345000000007 18 25.0
20 0.25602250000000043 13 21.0
