i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.1029539999999995 1 100.0
2 1.0615345 8 81.0
3 2.2715405000000004 2 77.0
4 2.0117255 3 75.0
5 1.4920835000000001 4 70.0
6 1.299082 7 63.0
7 0.11135250000000008 17 54.0
8 0.28208549999999977 15 49.0
9 0.5715905000000001 10 47.0
10 0.3563120000000002 13 44.0
11 0.08907350000000014 19 44.0
12 0.08907400000000021 18 44.0
13 0.5419049999999999 11 42.0
14 0.9576025000000001 9 41.0
15 0.4750855000000001 12 40.0
16 1.4623944999999998 5 37.0
17 1.37332 6 36.0
18 0.0 20 33.0
19 0.11876900000000012 16 33.0
20 0.2969255000000002 14 31.0
