i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.5507051000000005 1 93.0
2 0.8242838000000001 14 79.0
3 2.1142875000000005 3 76.0
4 0.9728220000000001 12 73.0
5 1.4053696000000002 10 61.0
6 2.1858995000000006 2 60.0
7 1.7061412500000004 9 58.0
8 0.0 20 55.0
9 1.9170405900000005 4 51.0
10 0.9392458000000001 13 51.0
11 1.7765578000000004 6 49.0
12 0.6150344499999999 15 49.0
13 1.8794513100000003 5 49.0
14 0.3122328000000002 18 47.0
15 0.2508746500000001 19 46.0
16 1.7215314000000004 7 43.0
17 0.5102218 16 43.0
18 1.1249583500000002 11 29.0
19 1.7074668000000002 8 22.0
20 0.38660150000000004 17 20.0
