i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.4028300000000002 1 84.0
2 0.380448888888889 13 63.0
3 1.321556666666667 5 55.0
4 1.4617166666666668 3 54.0
5 1.4416950000000002 4 54.0
6 1.6619477777777778 2 53.0
7 0.08009222222222223 16 51.0
8 0.6607761111111112 9 49.0
9 0.3404 14 47.0
10 0.18021500000000013 15 43.0
11 0.9210900000000002 7 42.0
12 0.9210833333333335 8 41.0
13 0.4004661111111111 12 39.0
14 0.4805772222222223 11 36.0
15 1.12132 6 36.0
16 2.220446049250313e-16 17 33.0
17 0.6407550000000001 10 31.0
18 0.0 18 22.0
