i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 3.275261666666667 1 84.0
2 0.6109238888888888 12 63.0
3 1.4679288888888888 4 55.0
4 1.3660961111111112 7 54.0
5 2.138256666666667 2 54.0
6 1.4170111111111112 5 53.0
7 0.48364388888888854 16 51.0
8 0.8400205555555555 10 49.0
9 0.0 18 47.0
10 0.4921305555555555 15 43.0
11 1.238818888888889 9 42.0
12 1.9940005555555558 3 41.0
13 1.3745916666666667 6 39.0
14 0.347885 17 36.0
15 0.6194122222222223 11 36.0
16 0.5684988888888887 13 33.0
17 1.2388216666666667 8 31.0
18 0.5345577777777777 14 22.0
