i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.4918701722222223 1 84.0
2 0.66148195 10 63.0
3 1.144471638888889 4 55.0
4 1.1493562833333333 3 54.0
5 0.893799561111111 6 54.0
6 1.293418927777778 2 53.0
7 0.0 18 51.0
8 0.5698471222222222 11 49.0
9 0.8760165055555555 7 47.0
10 0.4257129499999998 16 43.0
11 1.0001708388888888 5 42.0
12 0.5351732277777776 13 41.0
13 0.7905949499999999 8 39.0
14 0.5274818944444444 14 36.0
15 0.5637524499999998 12 36.0
16 0.4579301722222221 15 33.0
17 0.7497872833333332 9 31.0
18 0.2648371722222221 17 22.0
