i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 2.777266000000001 1 100.0
2 0.9526160000000001 8 81.0
3 2.0548179 3 77.0
4 2.046723 4 75.0
5 1.5037446000000003 5 70.0
6 2.2228570000000003 2 63.0
7 0.08747645000000004 18 54.0
8 0.6606091500000002 12 49.0
9 0.5839351000000003 13 47.0
10 0.7350135000000002 11 44.0
11 0.3450747000000003 16 44.0
12 1.0813875500000003 7 44.0
13 0.020530300000000667 19 42.0
14 0.9050928500000002 9 41.0
15 0.7993410000000002 10 40.0
16 0.5346237000000003 14 37.0
17 1.1792110000000002 6 36.0
18 0.24334050000000018 17 33.0
19 0.38929970000000014 15 33.0
20 0.0 20 31.0
