n1,n2,weight
12,15,1.2381e+00
12,16,1.4862e+00
12,17,-1.5944e+00
12,18,-7.5446e-01
12,19,1.3062e+00
12,20,-1.3942e+00
13,1,2.7566e+00
13,2,-2.4735e-01
13,3,-2.1398e-01
13,4,-1.6460e-01
13,5,3.4157e+00
13,6,5.5055e-01
13,7,-7.3620e-01
13,8,1.5544e-02
13,9,3.2216e+00
13,10,-1.8239e-01
13,11,-1.6175e-01
13,12,-6.2394e-01
13,14,2.0058e+00
13,15,1.2223e+00
13,16,2.2524e+00
13,17,4.4935e-02
13,18,-4.9153e-01
13,19,1.5717e-01
13,20,1.2241e+00
14,1,1.5740e+00
14,2,2.2107e+00
14,3,6.7253e-01
14,4,9.0159e-01
14,5,-2.0955e+00
14,6,-2.6098e-01
14,7,-1.4734e+00
14,8,8.5451e-01
14,9,2.2848e+00
14,10,-1.6216e+00
14,11,3.1559e+00
14,12,-3.8528e-01
14,13,1.5249e+00
14,15,-6.1738e-01
14,16,-6.2995e-01
14,17,-4.5397e-01
14,18,8.9204e-01
14,19,-4.1678e-01
14,20,8.0275e-01
15,1,1.6534e+00
15,2,-3.3553e-01
15,3,2.4604e-01
15,4,1.3663e+00
15,5,2.8475e+00
15,6,7.7896e-01
15,7,4.6287e-02
15,8,1.5546e+00
15,9,1.1412e-01
15,10,1.8803e+00
15,11,9.4102e-01
15,12,3.1523e-02
15,13,-1.5049e+00
15,14,3.6994e-01
15,16,6.5705e-01
15,17,3.2851e+00
15,18,4.0173e-01
15,19,4.5850e-01
15,20,-1.5674e+00
16,1,3.1543e+00
16,2,4.6657e+00
16,3,2.3257e+00
16,4,4.4847e+00
16,5,2.8320e+00
16,6,2.9330e-01
16,7,3.4891e+00
16,8,2.9118e+00
16,9,-5.8350e-01
16,10,2.8186e+00
16,11,2.6312e-01
16,12,-3.1556e-01
16,13,1.2864e+00
16,14,8.9074e-01
16,15,-1.7720e+00
16,17,-9.5979e-01
16,18,6.8231e-01
16,19,-1.1827e+00
16,20,-1.0919e+00
17,1,1.6549e+00
17,2,-1.1705e+00
17,3,-6.4966e-01
17,4,1.4045e+00
17,5,1.8066e+00
17,6,1.9014e-01
17,7,3.7206e+00
17,8,-7.3601e-01
17,9,8.5617e-01
17,10,6.0972e-01
17,11,9.7766e-01
17,12,-3.2407e-01
17,13,-7.7584e-01
17,14,4.7609e-01
17,15,6.6683e-01
17,16,-8.3703e-01
17,18,2.2501e+00
17,19,-2.6117e+00
17,20,-7.3195e-01
18,1,1.1760e+00
18,2,1.0737e-01
18,3,1.6733e-01
18,4,2.9481e+00
18,5,3.5827e+00
18,6,1.6084e+00
18,7,1.0961e+00
18,8,1.2094e+00
18,9,7.2692e-01
18,10,2.3358e+00
18,11,2.1896e+00
18,12,5.9212e-01
18,13,-1.0010e+00
18,14,8.1806e-01
18,15,-8.0882e-02
18,16,1.6327e+00
18,17,2.8038e-01
18,19,-3.1885e-01
18,20,-1.2954e+00
19,1,2.6895e+00
19,2,1.5587e+00
19,3,2.6319e+00
19,4,2.4294e-01
19,5,7.4348e-01
19,6,7.3385e-01
19,7,1.9658e+00
19,8,-9.2395e-01
19,9,3.5873e-01
19,10,6.6271e-01
19,11,1.4826e-02
19,12,-6.2493e-01
19,13,1.2659e+00
19,14,-1.1341e+00
19,15,2.3871e-01
19,16,4.3047e+00
19,17,1.6082e+00
19,18,1.9118e+00
19,20,6.4207e-01
20,1,2.0587e+00
20,2,-4.6695e-01
20,3,-5.9803e-01
20,4,1.9843e+00
20,5,1.5517e+00
20,6,1.4721e+00
20,7,5.8017e-01
20,8,-8.6803e-02
20,9,8.6833e-01
20,10,1.6459e+00
20,11,3.3870e-02
20,12,1.5481e-01
20,13,5.3508e-01
20,14,6.4606e-01
20,15,-7.7364e-01
20,16,2.1393e+00
20,17,9.9958e-01
20,18,-1.4421e+00
20,19,2.5422e+00
