n1,n2,weight
14,2,-1.4796e+00
14,3,-1.6390e+00
14,4,-2.7542e+00
14,5,-2.4170e+00
14,6,-1.9083e+00
14,7,-1.0832e+00
14,8,-2.0563e+00
14,9,5.6146e-01
14,10,-7.8132e-01
14,11,2.4962e-01
14,12,-1.8850e+00
14,13,1.2002e+00
14,15,-8.5482e-01
14,16,-9.8759e-01
14,17,-1.2199e+00
14,18,-7.3976e-01
15,1,-1.9241e+00
15,2,-1.0597e+00
15,3,-1.4079e+00
15,4,-1.3770e+00
15,5,-2.3886e+00
15,6,-2.2660e+00
15,7,-7.8916e-01
15,8,-6.0464e-01
15,9,-5.6888e-01
15,10,-1.6944e+00
15,11,-3.6080e-01
15,12,1.0650e+00
15,13,-2.8272e+00
15,14,-1.1462e+00
15,16,-1.1807e+00
15,17,-2.0835e+00
15,18,-6.6901e-01
16,1,-2.6408e+00
16,2,-9.6885e-01
16,3,-6.1729e-01
16,4,-1.2836e+00
16,5,-1.1126e+00
16,6,-1.1633e+00
16,7,3.9630e-01
16,8,-2.5039e-01
16,9,-1.2658e+00
16,10,-2.8002e-01
16,11,3.9241e-01
16,12,-1.1302e+00
16,13,-1.2442e+00
16,14,-1.9323e+00
16,15,-5.2655e-01
16,17,-1.3399e+00
16,18,-5.1639e-01
17,1,-3.0757e+00
17,2,9.2809e-01
17,3,-2.4333e-01
17,4,6.1632e-01
17,5,-5.5002e-01
17,6,-1.4738e+00
17,7,3.9894e-01
17,8,-1.8258e-01
17,9,9.9135e-02
17,10,4.8346e-01
17,11,-9.5649e-01
17,12,-1.6127e+00
17,13,8.1334e-02
17,14,-9.0675e-01
17,15,-1.9785e-01
17,16,-4.3767e-01
17,18,-1.5739e+00
18,1,-2.3900e+00
18,2,-9.4495e-01
18,3,-9.0331e-01
18,4,-1.5309e+00
18,5,-9.0857e-01
18,6,-8.7497e-01
18,7,2.1917e+00
18,8,-1.7208e+00
18,9,-2.7821e-01
18,10,1.6242e-01
18,11,1.2752e+00
18,12,1.7517e+00
18,13,-2.4478e+00
18,14,-1.0341e+00
18,15,8.1036e-01
18,16,-2.9880e-01
18,17,6.8229e-01
