i,j,fij
1,2,-4
1,3,-7
1,4,-6
1,5,-8
1,6,-6
1,7,-2
1,8,-10
1,9,-9
1,10,-10
1,11,-6
1,12,-10
1,13,-11
1,14,-15
1,15,-6
1,16,-8
1,17,-8
1,18,-11
1,19,-9
1,20,-15
2,3,-3
2,4,-2
2,5,-4
2,6,-2
2,7,2
2,8,-6
2,9,-5
2,10,-6
2,11,-2
2,12,-6
2,13,-7
2,14,-11
2,15,-2
2,16,-4
2,17,-4
2,18,-7
2,19,-5
2,20,-11
3,4,1
3,5,-1
3,6,1
3,7,5
3,8,-3
3,9,-2
3,10,-3
3,11,1
3,12,-3
3,13,-4
3,14,-8
3,15,1
3,16,-1
3,17,-1
3,18,-4
3,19,-2
3,20,-8
4,5,-2
4,6,0
4,7,4
4,8,-4
4,9,-3
4,10,-4
4,11,0
4,12,-4
4,13,-5
4,14,-9
4,15,0
4,16,-2
4,17,-2
4,18,-5
4,19,-3
4,20,-9
5,6,2
5,7,6
5,8,-2
5,9,-1
5,10,-2
5,11,2
5,12,-2
5,13,-3
5,14,-7
5,15,2
5,16,0
5,17,0
5,18,-3
5,19,-1
5,20,-7
6,7,4
6,8,-4
6,9,-3
6,10,-4
6,11,0
6,12,-4
6,13,-5
6,14,-9
6,15,0
6,16,-2
6,17,-2
6,18,-5
6,19,-3
6,20,-9
7,8,-8
7,9,-7
7,10,-8
7,11,-4
7,12,-8
7,13,-9
7,14,-13
7,15,-4
7,16,-6
7,17,-6
7,18,-9
7,19,-7
7,20,-13
8,9,1
8,10,0
8,11,4
8,12,0
8,13,-1
8,14,-5
8,15,4
8,16,2
8,17,2
8,18,-1
8,19,1
8,20,-5
9,10,-1
9,11,3
9,12,-1
9,13,-2
9,14,-6
9,15,3
9,16,1
9,17,1
9,18,-2
9,19,0
9,20,-6
10,11,4
10,12,0
10,13,-1
10,14,-5
10,15,4
10,16,2
10,17,2
10,18,-1
10,19,1
10,20,-5
11,12,-4
11,13,-5
11,14,-9
11,15,0
11,16,-2
11,17,-2
11,18,-5
11,19,-3
11,20,-9
12,13,-1
12,14,-5
12,15,4
12,16,2
12,17,2
12,18,-1
12,19,1
12,20,-5
13,14,-4
13,15,5
13,16,3
13,17,3
13,18,0
13,19,2
13,20,-4
14,15,9
14,16,7
14,17,7
14,18,4
14,19,6
14,20,0
15,16,-2
15,17,-2
15,18,-5
15,19,-3
15,20,-9
16,17,0
16,18,-3
16,19,-1
16,20,-7
17,18,-3
17,19,-1
17,20,-7
18,19,2
18,20,-4
19,20,-6
