i,j,fij
1,2,-6
1,3,-5
1,4,-4
1,5,-9
1,6,-9
1,7,-9
1,8,-16
1,9,-18
1,10,-16
1,11,-11
1,12,-15
1,13,-14
1,14,-22
1,15,-14
1,16,-14
1,17,-8
1,18,-17
1,19,-19
1,20,-24
2,3,1
2,4,2
2,5,-3
2,6,-3
2,7,-3
2,8,-10
2,9,-12
2,10,-10
2,11,-5
2,12,-9
2,13,-8
2,14,-16
2,15,-8
2,16,-8
2,17,-2
2,18,-11
2,19,-13
2,20,-18
3,4,1
3,5,-4
3,6,-4
3,7,-4
3,8,-11
3,9,-13
3,10,-11
3,11,-6
3,12,-10
3,13,-9
3,14,-17
3,15,-9
3,16,-9
3,17,-3
3,18,-12
3,19,-14
3,20,-19
4,5,-5
4,6,-5
4,7,-5
4,8,-12
4,9,-14
4,10,-12
4,11,-7
4,12,-11
4,13,-10
4,14,-18
4,15,-10
4,16,-10
4,17,-4
4,18,-13
4,19,-15
4,20,-20
5,6,0
5,7,0
5,8,-7
5,9,-9
5,10,-7
5,11,-2
5,12,-6
5,13,-5
5,14,-13
5,15,-5
5,16,-5
5,17,1
5,18,-8
5,19,-10
5,20,-15
6,7,0
6,8,-7
6,9,-9
6,10,-7
6,11,-2
6,12,-6
6,13,-5
6,14,-13
6,15,-5
6,16,-5
6,17,1
6,18,-8
6,19,-10
6,20,-15
7,8,-7
7,9,-9
7,10,-7
7,11,-2
7,12,-6
7,13,-5
7,14,-13
7,15,-5
7,16,-5
7,17,1
7,18,-8
7,19,-10
7,20,-15
8,9,-2
8,10,0
8,11,5
8,12,1
8,13,2
8,14,-6
8,15,2
8,16,2
8,17,8
8,18,-1
8,19,-3
8,20,-8
9,10,2
9,11,7
9,12,3
9,13,4
9,14,-4
9,15,4
9,16,4
9,17,10
9,18,1
9,19,-1
9,20,-6
10,11,5
10,12,1
10,13,2
10,14,-6
10,15,2
10,16,2
10,17,8
10,18,-1
10,19,-3
10,20,-8
11,12,-4
11,13,-3
11,14,-11
11,15,-3
11,16,-3
11,17,3
11,18,-6
11,19,-8
11,20,-13
12,13,1
12,14,-7
12,15,1
12,16,1
12,17,7
12,18,-2
12,19,-4
12,20,-9
13,14,-8
13,15,0
13,16,0
13,17,6
13,18,-3
13,19,-5
13,20,-10
14,15,8
14,16,8
14,17,14
14,18,5
14,19,3
14,20,-2
15,16,0
15,17,6
15,18,-3
15,19,-5
15,20,-10
16,17,6
16,18,-3
16,19,-5
16,20,-10
17,18,-9
17,19,-11
17,20,-16
18,19,-2
18,20,-7
19,20,-5
