i,j,fij
1,2,-11
1,3,-19
1,4,-17
1,5,-20
1,6,-30
1,7,-24
1,8,-29
1,9,-28
1,10,-29
1,11,-31
1,12,-33
1,13,-26
1,14,-38
1,15,-38
1,16,-30
1,17,-29
1,18,-40
1,19,-43
1,20,-44
2,3,-8
2,4,-6
2,5,-9
2,6,-19
2,7,-13
2,8,-18
2,9,-17
2,10,-18
2,11,-20
2,12,-22
2,13,-15
2,14,-27
2,15,-27
2,16,-19
2,17,-18
2,18,-29
2,19,-32
2,20,-33
3,4,2
3,5,-1
3,6,-11
3,7,-5
3,8,-10
3,9,-9
3,10,-10
3,11,-12
3,12,-14
3,13,-7
3,14,-19
3,15,-19
3,16,-11
3,17,-10
3,18,-21
3,19,-24
3,20,-25
4,5,-3
4,6,-13
4,7,-7
4,8,-12
4,9,-11
4,10,-12
4,11,-14
4,12,-16
4,13,-9
4,14,-21
4,15,-21
4,16,-13
4,17,-12
4,18,-23
4,19,-26
4,20,-27
5,6,-10
5,7,-4
5,8,-9
5,9,-8
5,10,-9
5,11,-11
5,12,-13
5,13,-6
5,14,-18
5,15,-18
5,16,-10
5,17,-9
5,18,-20
5,19,-23
5,20,-24
6,7,6
6,8,1
6,9,2
6,10,1
6,11,-1
6,12,-3
6,13,4
6,14,-8
6,15,-8
6,16,0
6,17,1
6,18,-10
6,19,-13
6,20,-14
7,8,-5
7,9,-4
7,10,-5
7,11,-7
7,12,-9
7,13,-2
7,14,-14
7,15,-14
7,16,-6
7,17,-5
7,18,-16
7,19,-19
7,20,-20
8,9,1
8,10,0
8,11,-2
8,12,-4
8,13,3
8,14,-9
8,15,-9
8,16,-1
8,17,0
8,18,-11
8,19,-14
8,20,-15
9,10,-1
9,11,-3
9,12,-5
9,13,2
9,14,-10
9,15,-10
9,16,-2
9,17,-1
9,18,-12
9,19,-15
9,20,-16
10,11,-2
10,12,-4
10,13,3
10,14,-9
10,15,-9
10,16,-1
10,17,0
10,18,-11
10,19,-14
10,20,-15
11,12,-2
11,13,5
11,14,-7
11,15,-7
11,16,1
11,17,2
11,18,-9
11,19,-12
11,20,-13
12,13,7
12,14,-5
12,15,-5
12,16,3
12,17,4
12,18,-7
12,19,-10
12,20,-11
13,14,-12
13,15,-12
13,16,-4
13,17,-3
13,18,-14
13,19,-17
13,20,-18
14,15,0
14,16,8
14,17,9
14,18,-2
14,19,-5
14,20,-6
15,16,8
15,17,9
15,18,-2
15,19,-5
15,20,-6
16,17,1
16,18,-10
16,19,-13
16,20,-14
17,18,-11
17,19,-14
17,20,-15
18,19,-3
18,20,-4
19,20,-1
