i,j,fij
1,2,-8
1,3,-8
1,4,-4
1,5,-11
1,6,-12
1,7,-9
1,8,-16
1,9,-20
1,10,-16
1,11,-14
1,12,-15
1,13,-17
1,14,-25
1,15,-16
1,16,-17
1,17,-11
1,18,-17
1,19,-22
1,20,-24
2,3,0
2,4,4
2,5,-3
2,6,-4
2,7,-1
2,8,-8
2,9,-12
2,10,-8
2,11,-6
2,12,-7
2,13,-9
2,14,-17
2,15,-8
2,16,-9
2,17,-3
2,18,-9
2,19,-14
2,20,-16
3,4,4
3,5,-3
3,6,-4
3,7,-1
3,8,-8
3,9,-12
3,10,-8
3,11,-6
3,12,-7
3,13,-9
3,14,-17
3,15,-8
3,16,-9
3,17,-3
3,18,-9
3,19,-14
3,20,-16
4,5,-7
4,6,-8
4,7,-5
4,8,-12
4,9,-16
4,10,-12
4,11,-10
4,12,-11
4,13,-13
4,14,-21
4,15,-12
4,16,-13
4,17,-7
4,18,-13
4,19,-18
4,20,-20
5,6,-1
5,7,2
5,8,-5
5,9,-9
5,10,-5
5,11,-3
5,12,-4
5,13,-6
5,14,-14
5,15,-5
5,16,-6
5,17,0
5,18,-6
5,19,-11
5,20,-13
6,7,3
6,8,-4
6,9,-8
6,10,-4
6,11,-2
6,12,-3
6,13,-5
6,14,-13
6,15,-4
6,16,-5
6,17,1
6,18,-5
6,19,-10
6,20,-12
7,8,-7
7,9,-11
7,10,-7
7,11,-5
7,12,-6
7,13,-8
7,14,-16
7,15,-7
7,16,-8
7,17,-2
7,18,-8
7,19,-13
7,20,-15
8,9,-4
8,10,0
8,11,2
8,12,1
8,13,-1
8,14,-9
8,15,0
8,16,-1
8,17,5
8,18,-1
8,19,-6
8,20,-8
9,10,4
9,11,6
9,12,5
9,13,3
9,14,-5
9,15,4
9,16,3
9,17,9
9,18,3
9,19,-2
9,20,-4
10,11,2
10,12,1
10,13,-1
10,14,-9
10,15,0
10,16,-1
10,17,5
10,18,-1
10,19,-6
10,20,-8
11,12,-1
11,13,-3
11,14,-11
11,15,-2
11,16,-3
11,17,3
11,18,-3
11,19,-8
11,20,-10
12,13,-2
12,14,-10
12,15,-1
12,16,-2
12,17,4
12,18,-2
12,19,-7
12,20,-9
13,14,-8
13,15,1
13,16,0
13,17,6
13,18,0
13,19,-5
13,20,-7
14,15,9
14,16,8
14,17,14
14,18,8
14,19,3
14,20,1
15,16,-1
15,17,5
15,18,-1
15,19,-6
15,20,-8
16,17,6
16,18,0
16,19,-5
16,20,-7
17,18,-6
17,19,-11
17,20,-13
18,19,-5
18,20,-7
19,20,-2
