i,j,fij
1,2,-7
1,3,-14
1,4,-16
1,5,-24
1,6,-29
1,7,-23
1,8,-29
1,9,-27
1,10,-28
1,11,-33
1,12,-35
1,13,-30
1,14,-34
1,15,-42
1,16,-34
1,17,-33
1,18,-45
1,19,-44
1,20,-49
2,3,-7
2,4,-9
2,5,-17
2,6,-22
2,7,-16
2,8,-22
2,9,-20
2,10,-21
2,11,-26
2,12,-28
2,13,-23
2,14,-27
2,15,-35
2,16,-27
2,17,-26
2,18,-38
2,19,-37
2,20,-42
3,4,-2
3,5,-10
3,6,-15
3,7,-9
3,8,-15
3,9,-13
3,10,-14
3,11,-19
3,12,-21
3,13,-16
3,14,-20
3,15,-28
3,16,-20
3,17,-19
3,18,-31
3,19,-30
3,20,-35
4,5,-8
4,6,-13
4,7,-7
4,8,-13
4,9,-11
4,10,-12
4,11,-17
4,12,-19
4,13,-14
4,14,-18
4,15,-26
4,16,-18
4,17,-17
4,18,-29
4,19,-28
4,20,-33
5,6,-5
5,7,1
5,8,-5
5,9,-3
5,10,-4
5,11,-9
5,12,-11
5,13,-6
5,14,-10
5,15,-18
5,16,-10
5,17,-9
5,18,-21
5,19,-20
5,20,-25
6,7,6
6,8,0
6,9,2
6,10,1
6,11,-4
6,12,-6
6,13,-1
6,14,-5
6,15,-13
6,16,-5
6,17,-4
6,18,-16
6,19,-15
6,20,-20
7,8,-6
7,9,-4
7,10,-5
7,11,-10
7,12,-12
7,13,-7
7,14,-11
7,15,-19
7,16,-11
7,17,-10
7,18,-22
7,19,-21
7,20,-26
8,9,2
8,10,1
8,11,-4
8,12,-6
8,13,-1
8,14,-5
8,15,-13
8,16,-5
8,17,-4
8,18,-16
8,19,-15
8,20,-20
9,10,-1
9,11,-6
9,12,-8
9,13,-3
9,14,-7
9,15,-15
9,16,-7
9,17,-6
9,18,-18
9,19,-17
9,20,-22
10,11,-5
10,12,-7
10,13,-2
10,14,-6
10,15,-14
10,16,-6
10,17,-5
10,18,-17
10,19,-16
10,20,-21
11,12,-2
11,13,3
11,14,-1
11,15,-9
11,16,-1
11,17,0
11,18,-12
11,19,-11
11,20,-16
12,13,5
12,14,1
12,15,-7
12,16,1
12,17,2
12,18,-10
12,19,-9
12,20,-14
13,14,-4
13,15,-12
13,16,-4
13,17,-3
13,18,-15
13,19,-14
13,20,-19
14,15,-8
14,16,0
14,17,1
14,18,-11
14,19,-10
14,20,-15
15,16,8
15,17,9
15,18,-3
15,19,-2
15,20,-7
16,17,1
16,18,-11
16,19,-10
16,20,-15
17,18,-12
17,19,-11
17,20,-16
18,19,1
18,20,-4
19,20,-5
