i,j,fij
1,2,-6
1,3,-5
1,4,-4
1,5,-9
1,6,-9
1,7,-6
1,8,-14
1,9,-15
1,10,-16
1,11,-9
1,12,-13
1,13,-11
1,14,-19
1,15,-12
1,16,-11
1,17,-8
1,18,-14
1,19,-16
1,20,-21
2,3,1
2,4,2
2,5,-3
2,6,-3
2,7,0
2,8,-8
2,9,-9
2,10,-10
2,11,-3
2,12,-7
2,13,-5
2,14,-13
2,15,-6
2,16,-5
2,17,-2
2,18,-8
2,19,-10
2,20,-15
3,4,1
3,5,-4
3,6,-4
3,7,-1
3,8,-9
3,9,-10
3,10,-11
3,11,-4
3,12,-8
3,13,-6
3,14,-14
3,15,-7
3,16,-6
3,17,-3
3,18,-9
3,19,-11
3,20,-16
4,5,-5
4,6,-5
4,7,-2
4,8,-10
4,9,-11
4,10,-12
4,11,-5
4,12,-9
4,13,-7
4,14,-15
4,15,-8
4,16,-7
4,17,-4
4,18,-10
4,19,-12
4,20,-17
5,6,0
5,7,3
5,8,-5
5,9,-6
5,10,-7
5,11,0
5,12,-4
5,13,-2
5,14,-10
5,15,-3
5,16,-2
5,17,1
5,18,-5
5,19,-7
5,20,-12
6,7,3
6,8,-5
6,9,-6
6,10,-7
6,11,0
6,12,-4
6,13,-2
6,14,-10
6,15,-3
6,16,-2
6,17,1
6,18,-5
6,19,-7
6,20,-12
7,8,-8
7,9,-9
7,10,-10
7,11,-3
7,12,-7
7,13,-5
7,14,-13
7,15,-6
7,16,-5
7,17,-2
7,18,-8
7,19,-10
7,20,-15
8,9,-1
8,10,-2
8,11,5
8,12,1
8,13,3
8,14,-5
8,15,2
8,16,3
8,17,6
8,18,0
8,19,-2
8,20,-7
9,10,-1
9,11,6
9,12,2
9,13,4
9,14,-4
9,15,3
9,16,4
9,17,7
9,18,1
9,19,-1
9,20,-6
10,11,7
10,12,3
10,13,5
10,14,-3
10,15,4
10,16,5
10,17,8
10,18,2
10,19,0
10,20,-5
11,12,-4
11,13,-2
11,14,-10
11,15,-3
11,16,-2
11,17,1
11,18,-5
11,19,-7
11,20,-12
12,13,2
12,14,-6
12,15,1
12,16,2
12,17,5
12,18,-1
12,19,-3
12,20,-8
13,14,-8
13,15,-1
13,16,0
13,17,3
13,18,-3
13,19,-5
13,20,-10
14,15,7
14,16,8
14,17,11
14,18,5
14,19,3
14,20,-2
15,16,1
15,17,4
15,18,-2
15,19,-4
15,20,-9
16,17,3
16,18,-3
16,19,-5
16,20,-10
17,18,-6
17,19,-8
17,20,-13
18,19,-2
18,20,-7
19,20,-5
