i,j,fij
1,2,-14
1,3,-17
1,4,-15
1,5,-16
1,6,-13
1,7,-24
1,8,-17
1,9,-16
1,10,-20
1,11,-28
1,12,-17
1,13,-18
1,14,-24
1,15,-27
1,16,-24
1,17,-29
1,18,-35
2,3,-3
2,4,-1
2,5,-2
2,6,1
2,7,-10
2,8,-3
2,9,-2
2,10,-6
2,11,-14
2,12,-3
2,13,-4
2,14,-10
2,15,-13
2,16,-10
2,17,-15
2,18,-21
3,4,2
3,5,1
3,6,4
3,7,-7
3,8,0
3,9,1
3,10,-3
3,11,-11
3,12,0
3,13,-1
3,14,-7
3,15,-10
3,16,-7
3,17,-12
3,18,-18
4,5,-1
4,6,2
4,7,-9
4,8,-2
4,9,-1
4,10,-5
4,11,-13
4,12,-2
4,13,-3
4,14,-9
4,15,-12
4,16,-9
4,17,-14
4,18,-20
5,6,3
5,7,-8
5,8,-1
5,9,0
5,10,-4
5,11,-12
5,12,-1
5,13,-2
5,14,-8
5,15,-11
5,16,-8
5,17,-13
5,18,-19
6,7,-11
6,8,-4
6,9,-3
6,10,-7
6,11,-15
6,12,-4
6,13,-5
6,14,-11
6,15,-14
6,16,-11
6,17,-16
6,18,-22
7,8,7
7,9,8
7,10,4
7,11,-4
7,12,7
7,13,6
7,14,0
7,15,-3
7,16,0
7,17,-5
7,18,-11
8,9,1
8,10,-3
8,11,-11
8,12,0
8,13,-1
8,14,-7
8,15,-10
8,16,-7
8,17,-12
8,18,-18
9,10,-4
9,11,-12
9,12,-1
9,13,-2
9,14,-8
9,15,-11
9,16,-8
9,17,-13
9,18,-19
10,11,-8
10,12,3
10,13,2
10,14,-4
10,15,-7
10,16,-4
10,17,-9
10,18,-15
11,12,11
11,13,10
11,14,4
11,15,1
11,16,4
11,17,-1
11,18,-7
12,13,-1
12,14,-7
12,15,-10
12,16,-7
12,17,-12
12,18,-18
13,14,-6
13,15,-9
13,16,-6
13,17,-11
13,18,-17
14,15,-3
14,16,0
14,17,-5
14,18,-11
15,16,3
15,17,-2
15,18,-8
16,17,-5
16,18,-11
17,18,-6
