i,j,fij
1,2,-16
1,3,-20
1,4,-17
1,5,-16
1,6,-16
1,7,-27
1,8,-17
1,9,-16
1,10,-22
1,11,-31
1,12,-20
1,13,-20
1,14,-24
1,15,-27
1,16,-27
1,17,-32
1,18,-35
2,3,-4
2,4,-1
2,5,0
2,6,0
2,7,-11
2,8,-1
2,9,0
2,10,-6
2,11,-15
2,12,-4
2,13,-4
2,14,-8
2,15,-11
2,16,-11
2,17,-16
2,18,-19
3,4,3
3,5,4
3,6,4
3,7,-7
3,8,3
3,9,4
3,10,-2
3,11,-11
3,12,0
3,13,0
3,14,-4
3,15,-7
3,16,-7
3,17,-12
3,18,-15
4,5,1
4,6,1
4,7,-10
4,8,0
4,9,1
4,10,-5
4,11,-14
4,12,-3
4,13,-3
4,14,-7
4,15,-10
4,16,-10
4,17,-15
4,18,-18
5,6,0
5,7,-11
5,8,-1
5,9,0
5,10,-6
5,11,-15
5,12,-4
5,13,-4
5,14,-8
5,15,-11
5,16,-11
5,17,-16
5,18,-19
6,7,-11
6,8,-1
6,9,0
6,10,-6
6,11,-15
6,12,-4
6,13,-4
6,14,-8
6,15,-11
6,16,-11
6,17,-16
6,18,-19
7,8,10
7,9,11
7,10,5
7,11,-4
7,12,7
7,13,7
7,14,3
7,15,0
7,16,0
7,17,-5
7,18,-8
8,9,1
8,10,-5
8,11,-14
8,12,-3
8,13,-3
8,14,-7
8,15,-10
8,16,-10
8,17,-15
8,18,-18
9,10,-6
9,11,-15
9,12,-4
9,13,-4
9,14,-8
9,15,-11
9,16,-11
9,17,-16
9,18,-19
10,11,-9
10,12,2
10,13,2
10,14,-2
10,15,-5
10,16,-5
10,17,-10
10,18,-13
11,12,11
11,13,11
11,14,7
11,15,4
11,16,4
11,17,-1
11,18,-4
12,13,0
12,14,-4
12,15,-7
12,16,-7
12,17,-12
12,18,-15
13,14,-4
13,15,-7
13,16,-7
13,17,-12
13,18,-15
14,15,-3
14,16,-3
14,17,-8
14,18,-11
15,16,0
15,17,-5
15,18,-8
16,17,-5
16,18,-8
17,18,-3
