i,j,fij
1,2,-6
1,3,-7
1,4,-6
1,5,-10
1,6,-4
1,7,-13
1,8,-8
1,9,-8
1,10,-12
1,11,-21
1,12,-10
1,13,-8
1,14,-18
1,15,-14
1,16,-15
1,17,-16
1,18,-24
2,3,-1
2,4,0
2,5,-4
2,6,2
2,7,-7
2,8,-2
2,9,-2
2,10,-6
2,11,-15
2,12,-4
2,13,-2
2,14,-12
2,15,-8
2,16,-9
2,17,-10
2,18,-18
3,4,1
3,5,-3
3,6,3
3,7,-6
3,8,-1
3,9,-1
3,10,-5
3,11,-14
3,12,-3
3,13,-1
3,14,-11
3,15,-7
3,16,-8
3,17,-9
3,18,-17
4,5,-4
4,6,2
4,7,-7
4,8,-2
4,9,-2
4,10,-6
4,11,-15
4,12,-4
4,13,-2
4,14,-12
4,15,-8
4,16,-9
4,17,-10
4,18,-18
5,6,6
5,7,-3
5,8,2
5,9,2
5,10,-2
5,11,-11
5,12,0
5,13,2
5,14,-8
5,15,-4
5,16,-5
5,17,-6
5,18,-14
6,7,-9
6,8,-4
6,9,-4
6,10,-8
6,11,-17
6,12,-6
6,13,-4
6,14,-14
6,15,-10
6,16,-11
6,17,-12
6,18,-20
7,8,5
7,9,5
7,10,1
7,11,-8
7,12,3
7,13,5
7,14,-5
7,15,-1
7,16,-2
7,17,-3
7,18,-11
8,9,0
8,10,-4
8,11,-13
8,12,-2
8,13,0
8,14,-10
8,15,-6
8,16,-7
8,17,-8
8,18,-16
9,10,-4
9,11,-13
9,12,-2
9,13,0
9,14,-10
9,15,-6
9,16,-7
9,17,-8
9,18,-16
10,11,-9
10,12,2
10,13,4
10,14,-6
10,15,-2
10,16,-3
10,17,-4
10,18,-12
11,12,11
11,13,13
11,14,3
11,15,7
11,16,6
11,17,5
11,18,-3
12,13,2
12,14,-8
12,15,-4
12,16,-5
12,17,-6
12,18,-14
13,14,-10
13,15,-6
13,16,-7
13,17,-8
13,18,-16
14,15,4
14,16,3
14,17,2
14,18,-6
15,16,-1
15,17,-2
15,18,-10
16,17,-1
16,18,-9
17,18,-8
