i,j,fij
1,2,-4
1,3,-4
1,4,0
1,5,-8
1,6,-1
1,7,-10
1,8,-6
1,9,-6
1,10,-10
1,11,-15
1,12,-8
1,13,-5
1,14,-12
1,15,-10
1,16,-11
1,17,-13
1,18,-18
2,3,0
2,4,4
2,5,-4
2,6,3
2,7,-6
2,8,-2
2,9,-2
2,10,-6
2,11,-11
2,12,-4
2,13,-1
2,14,-8
2,15,-6
2,16,-7
2,17,-9
2,18,-14
3,4,4
3,5,-4
3,6,3
3,7,-6
3,8,-2
3,9,-2
3,10,-6
3,11,-11
3,12,-4
3,13,-1
3,14,-8
3,15,-6
3,16,-7
3,17,-9
3,18,-14
4,5,-8
4,6,-1
4,7,-10
4,8,-6
4,9,-6
4,10,-10
4,11,-15
4,12,-8
4,13,-5
4,14,-12
4,15,-10
4,16,-11
4,17,-13
4,18,-18
5,6,7
5,7,-2
5,8,2
5,9,2
5,10,-2
5,11,-7
5,12,0
5,13,3
5,14,-4
5,15,-2
5,16,-3
5,17,-5
5,18,-10
6,7,-9
6,8,-5
6,9,-5
6,10,-9
6,11,-14
6,12,-7
6,13,-4
6,14,-11
6,15,-9
6,16,-10
6,17,-12
6,18,-17
7,8,4
7,9,4
7,10,0
7,11,-5
7,12,2
7,13,5
7,14,-2
7,15,0
7,16,-1
7,17,-3
7,18,-8
8,9,0
8,10,-4
8,11,-9
8,12,-2
8,13,1
8,14,-6
8,15,-4
8,16,-5
8,17,-7
8,18,-12
9,10,-4
9,11,-9
9,12,-2
9,13,1
9,14,-6
9,15,-4
9,16,-5
9,17,-7
9,18,-12
10,11,-5
10,12,2
10,13,5
10,14,-2
10,15,0
10,16,-1
10,17,-3
10,18,-8
11,12,7
11,13,10
11,14,3
11,15,5
11,16,4
11,17,2
11,18,-3
12,13,3
12,14,-4
12,15,-2
12,16,-3
12,17,-5
12,18,-10
13,14,-7
13,15,-5
13,16,-6
13,17,-8
13,18,-13
14,15,2
14,16,1
14,17,-1
14,18,-6
15,16,-1
15,17,-3
15,18,-8
16,17,-2
16,18,-7
17,18,-5
