i,j,fij
1,2,-19
1,3,-26
1,4,-18
1,5,-22
1,6,-23
1,7,-29
1,8,-21
1,9,-30
1,10,-31
1,11,-33
1,12,-31
1,13,-34
1,14,-36
1,15,-41
1,16,-41
1,17,-48
1,18,-46
2,3,-7
2,4,1
2,5,-3
2,6,-4
2,7,-10
2,8,-2
2,9,-11
2,10,-12
2,11,-14
2,12,-12
2,13,-15
2,14,-17
2,15,-22
2,16,-22
2,17,-29
2,18,-27
3,4,8
3,5,4
3,6,3
3,7,-3
3,8,5
3,9,-4
3,10,-5
3,11,-7
3,12,-5
3,13,-8
3,14,-10
3,15,-15
3,16,-15
3,17,-22
3,18,-20
4,5,-4
4,6,-5
4,7,-11
4,8,-3
4,9,-12
4,10,-13
4,11,-15
4,12,-13
4,13,-16
4,14,-18
4,15,-23
4,16,-23
4,17,-30
4,18,-28
5,6,-1
5,7,-7
5,8,1
5,9,-8
5,10,-9
5,11,-11
5,12,-9
5,13,-12
5,14,-14
5,15,-19
5,16,-19
5,17,-26
5,18,-24
6,7,-6
6,8,2
6,9,-7
6,10,-8
6,11,-10
6,12,-8
6,13,-11
6,14,-13
6,15,-18
6,16,-18
6,17,-25
6,18,-23
7,8,8
7,9,-1
7,10,-2
7,11,-4
7,12,-2
7,13,-5
7,14,-7
7,15,-12
7,16,-12
7,17,-19
7,18,-17
8,9,-9
8,10,-10
8,11,-12
8,12,-10
8,13,-13
8,14,-15
8,15,-20
8,16,-20
8,17,-27
8,18,-25
9,10,-1
9,11,-3
9,12,-1
9,13,-4
9,14,-6
9,15,-11
9,16,-11
9,17,-18
9,18,-16
10,11,-2
10,12,0
10,13,-3
10,14,-5
10,15,-10
10,16,-10
10,17,-17
10,18,-15
11,12,2
11,13,-1
11,14,-3
11,15,-8
11,16,-8
11,17,-15
11,18,-13
12,13,-3
12,14,-5
12,15,-10
12,16,-10
12,17,-17
12,18,-15
13,14,-2
13,15,-7
13,16,-7
13,17,-14
13,18,-12
14,15,-5
14,16,-5
14,17,-12
14,18,-10
15,16,0
15,17,-7
15,18,-5
16,17,-7
16,18,-5
17,18,2
