i,j,fij
1,2,-3
1,3,-2
1,4,0
1,5,-5
1,6,-3
1,7,-3
1,8,-5
1,9,-2
1,10,-3
1,11,-6
1,12,-5
1,13,0
1,14,-5
1,15,-6
1,16,-3
1,17,0
1,18,-6
2,3,1
2,4,3
2,5,-2
2,6,0
2,7,0
2,8,-2
2,9,1
2,10,0
2,11,-3
2,12,-2
2,13,3
2,14,-2
2,15,-3
2,16,0
2,17,3
2,18,-3
3,4,2
3,5,-3
3,6,-1
3,7,-1
3,8,-3
3,9,0
3,10,-1
3,11,-4
3,12,-3
3,13,2
3,14,-3
3,15,-4
3,16,-1
3,17,2
3,18,-4
4,5,-5
4,6,-3
4,7,-3
4,8,-5
4,9,-2
4,10,-3
4,11,-6
4,12,-5
4,13,0
4,14,-5
4,15,-6
4,16,-3
4,17,0
4,18,-6
5,6,2
5,7,2
5,8,0
5,9,3
5,10,2
5,11,-1
5,12,0
5,13,5
5,14,0
5,15,-1
5,16,2
5,17,5
5,18,-1
6,7,0
6,8,-2
6,9,1
6,10,0
6,11,-3
6,12,-2
6,13,3
6,14,-2
6,15,-3
6,16,0
6,17,3
6,18,-3
7,8,-2
7,9,1
7,10,0
7,11,-3
7,12,-2
7,13,3
7,14,-2
7,15,-3
7,16,0
7,17,3
7,18,-3
8,9,3
8,10,2
8,11,-1
8,12,0
8,13,5
8,14,0
8,15,-1
8,16,2
8,17,5
8,18,-1
9,10,-1
9,11,-4
9,12,-3
9,13,2
9,14,-3
9,15,-4
9,16,-1
9,17,2
9,18,-4
10,11,-3
10,12,-2
10,13,3
10,14,-2
10,15,-3
10,16,0
10,17,3
10,18,-3
11,12,1
11,13,6
11,14,1
11,15,0
11,16,3
11,17,6
11,18,0
12,13,5
12,14,0
12,15,-1
12,16,2
12,17,5
12,18,-1
13,14,-5
13,15,-6
13,16,-3
13,17,0
13,18,-6
14,15,-1
14,16,2
14,17,5
14,18,-1
15,16,3
15,17,6
15,18,0
16,17,3
16,18,-3
17,18,-6
