i,j,fij
1,2,-5
1,3,-9
1,4,-8
1,5,-9
1,6,-3
1,7,-12
1,8,-10
1,9,-5
1,10,-12
1,11,-21
1,12,-10
1,13,-10
1,14,-18
1,15,-14
1,16,-15
1,17,-16
1,18,-27
2,3,-4
2,4,-3
2,5,-4
2,6,2
2,7,-7
2,8,-5
2,9,0
2,10,-7
2,11,-16
2,12,-5
2,13,-5
2,14,-13
2,15,-9
2,16,-10
2,17,-11
2,18,-22
3,4,1
3,5,0
3,6,6
3,7,-3
3,8,-1
3,9,4
3,10,-3
3,11,-12
3,12,-1
3,13,-1
3,14,-9
3,15,-5
3,16,-6
3,17,-7
3,18,-18
4,5,-1
4,6,5
4,7,-4
4,8,-2
4,9,3
4,10,-4
4,11,-13
4,12,-2
4,13,-2
4,14,-10
4,15,-6
4,16,-7
4,17,-8
4,18,-19
5,6,6
5,7,-3
5,8,-1
5,9,4
5,10,-3
5,11,-12
5,12,-1
5,13,-1
5,14,-9
5,15,-5
5,16,-6
5,17,-7
5,18,-18
6,7,-9
6,8,-7
6,9,-2
6,10,-9
6,11,-18
6,12,-7
6,13,-7
6,14,-15
6,15,-11
6,16,-12
6,17,-13
6,18,-24
7,8,2
7,9,7
7,10,0
7,11,-9
7,12,2
7,13,2
7,14,-6
7,15,-2
7,16,-3
7,17,-4
7,18,-15
8,9,5
8,10,-2
8,11,-11
8,12,0
8,13,0
8,14,-8
8,15,-4
8,16,-5
8,17,-6
8,18,-17
9,10,-7
9,11,-16
9,12,-5
9,13,-5
9,14,-13
9,15,-9
9,16,-10
9,17,-11
9,18,-22
10,11,-9
10,12,2
10,13,2
10,14,-6
10,15,-2
10,16,-3
10,17,-4
10,18,-15
11,12,11
11,13,11
11,14,3
11,15,7
11,16,6
11,17,5
11,18,-6
12,13,0
12,14,-8
12,15,-4
12,16,-5
12,17,-6
12,18,-17
13,14,-8
13,15,-4
13,16,-5
13,17,-6
13,18,-17
14,15,4
14,16,3
14,17,2
14,18,-9
15,16,-1
15,17,-2
15,18,-13
16,17,-1
16,18,-12
17,18,-11
