i w_i r_i
1 3.2496136 1
2 2.2877897000000003 6
3 1.4623861 13
4 2.0940541 7
5 2.9920666000000002 2
6 1.5374781000000002 11
7 1.3070226 15
8 0.7362060999999998 19
9 1.4983001 12
10 2.3356581000000003 5
11 0.75694605 18
12 1.9782731500000001 9
13 0.0 20
14 1.8664186000000003 10
15 2.4156591 4
16 1.2784244 16
17 2.0681731 8
18 0.9821185999999998 17
19 1.4094213 14
20 2.9094926 3
